" Copy"," העתק"
"Action","פעולה"
"Add New Template","הוסף תבנית חדשה"
"Add to Queue","הוסף לתור"
"Allow Guest Subscription","אפשר רישום מבקרים"
"An error occurred while saving your subscription.","ארעה שגיאה במהלך שמירת הרישום שלך"
"Are you sure that you want to delete this template?","אתה בטוח שאתה רוצה למחוק את התבנית הזאת?"
"Are you sure that you want to strip all tags?","האם אתה בטוח שברצנך להסיר את כל התגים?"
"Back","חזור"
"Cancel","בטל"
"Cancelled","בוטל"
"Cannot mark as received subscriber.","לא ניתן לסמן כלקוח נרשם שהתקבל"
"Confirmation Email Sender","אישור אימייל השולח"
"Confirmation Email Template","תבנית אישור אימייל"
"Confirmation request has been sent.","נשלחה בקשת אימות"
"Convert to Plain Text","הפוך לטקסט פשוט"
"Create Newsletter Template","צור תבנית לניוזלטר"
"Customer","לקוח"
"Customer First Name","שם פרטי של לקוח"
"Customer Last Name","שם משפחה של לקוח"
"Customer My Account Newsletter Subscriptions","רישום לניזולטר של לקוח"
"Date Added","תאריך התווספות"
"Date Updated","תאריך עדכון/תאריך עודכן"
"Delete","מחק/מחיקה"
"Delete Selected Problems","מחר בעיות נבחרות"
"Delete Template","מחק תבנית"
"Do you really want to cancel the queue?","האם ברצונך לבטל את התור?"
"Duplicate template code.","שכפל קוד תבנית"
"Edit Newsletter","ערוך ניוזלטר"
"Edit Newsletter Template","ערוך תבנית ניוזלטר"
"Edit Queue","ערוך תור"
"Edit Template","ערוך תבנית"
"Email","מייל"
"Enter your email address","הזן כתובת אימייל"
"Error Code","קוד שגיאה"
"Error Text","טקסט שגיאה"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","עקוב אחר קישור זה כדי להסיר הרשמה <!-- בחר כאן לקישור הסרת רישום  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","אורח"
"ID","קוד/ת.ז/זיהוי"
"Invalid queue selected.","תור לא תקין תבחר"
"Invalid subscription ID.","קוד רישום לא תקין"
"Invalid subscription confirmation code.","קוד אימות רישום לא תקין"
"Message","הודעה"
"Need to Confirm","נדרש אישור"
"New Newsletter Template","תבנית ניוזלטר חדשה"
"New Template","תבנתי חדשה"
"Newsletter","ניוזלטר"
"Newsletter Message Preview","הודעת ניוזלטר - תצוגה מקדימה"
"Newsletter Problem Reports","ניוזלטר - דוחות תקולים"
"Newsletter Queue","ניוזלטר - תור"
"Newsletter Section","איזור - ניוזלטר"
"Newsletter Sign-up:","רישום לניוזלטר"
"Newsletter Styles","סגנונות ניוזלטר"
"Newsletter Subscribers","ניוזלטר - מנויים"
"Newsletter Subscription","ניוזלטר - רישום"
"Newsletter Subscription Form Before","רישומים לניוזלטר מלפני כן"
"Newsletter Subscriptions","מנויים לניוזלטרים"
"Newsletter Templates","תבניות לניוזלטר"
"Newsletter subscription confirmation","ניוזלטר - אישור הרשמה"
"Newsletter subscription success","ניוזלטר - הרישום הצליח"
"Newsletter unsubscription success","ניוזלטר - הסרת המנוי הצליחה"
"No Templates Found","לא נמצאה תבנית"
"No problems found.","לא נמצאו תקלות"
"No subscribers selected.","לא נבחר לקוח רשום"
"Not Activated","לא הופעל"
"Not Sent","לא נשלח"
"Pause","עצור"
"Paused","עצר/נעצר"
"Please enter a valid email address.","אנא, הכנס כתבות דוא""ל תקינה"
"Please enter new template name","הקלד שם תבנית חדשה"
"Please refer to exeption.log","אנא , עיין בלוג   "
"Please select subscriber(s)","בחר מנוי(ים)"
"Preview","תצוגה מקדימה"
"Preview Template","תבנית - תצוגה מקדימה"
"Processed","מעובד"
"Queue Date Start","תאריך תחילת תור"
"Queue Finish","סיום תור"
"Queue Information","תור - מידע"
"Queue Newsletter...","תור ניוזלטר..."
"Queue Start","תור - התחלה"
"Queue Subject","תור - נושא"
"Recipients","נמענים/מקבלים"
"Reset","התחל מחדש"
"Resume","המשך פעולה"
"Return HTML Version","החזר גרסת HTML "
"Save As","שמירה בשם"
"Save Newsletter","שמור ניוזלטר"
"Save Template","שמור תבנית"
"Save and Resume","שמור והמשך"
"Selected problem subscribers have been unsubscribed.","לקוחות רשומים בעייתיים הוסרו מרשימת הלקוחות הרשומים "
"Selected problems have been deleted.","בעיות שנבחרו נמקחו בהצלחה"
"Sender","השולח"
"Sender Email","השולח - אימייל"
"Sender Name","השולח - שם"
"Sending","שולח"
"Sent","נשלח"
"Sign Up for Our Newsletter:","הרשם לניוזלטר"
"Sign up for our newsletter","הירשם לניולטר שלנו"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","מצטערים, מנהל האתר חסם את אפשרות הרישום למבקרים. אנא <a href=""%s"">הרשם</a>."
"Start","התחל"
"Status","מצב"
"Store","חנות"
"Store View","תצוגת חנות"
"Subject","נושא"
"Submit","שלח"
"Subscribe","הירשם"
"Subscribed","נרשם"
"Subscriber","מנוי"
"Subscribers","מנוים"
"Subscribers From","מנויים מ"
"Subscription Options","אפשרויות מנוי/רישום"
"Success Email Sender","שולח דוא""ל הצלחה"
"Success Email Template","תבנית דוא""ל הצלחה"
"Template Content","תוכן תבנית"
"Template Information","מידע תבנית"
"Template Name","שם תבנית"
"Template Styles","סגנונות תבנית"
"Template Subject","תבנית - נושא"
"Template Type","סוג תבנית"
"Thank you for your subscription.","תודה לך על ביצוע רישום"
"The subscription has been removed.","הרישום לניוזלטר הוסר בהצלחה"
"The subscription has been saved.","הרישום לניוזלטר נשמר בהצלחה"
"There was a problem with the subscription.","ארעה תקלה בביצוע הרישום לניוזלטר"
"There was a problem with the subscription: %s","ארעה בעיה ברישום: %s"
"There was a problem with the un-subscription.","ארעה בעיה בהסרת המינוי/רישום"
"This email address is already assigned to another user.","כתובת הדוא""ל שהזנת נמצאת בשימוש על ידי משתמש אחר"
"Type","סוג"
"Unconfirmed","לא מאושר"
"Unsubscribe","בטל מנוי/רישום"
"Unsubscribe Selected","הסר רישום מנבחרים"
"Unsubscribed","לא רשום"
"Unsubscription Email Sender","ביטול רישום של שולח הדוא""ל"
"Unsubscription Email Template","הסרת רישום - תבנית אימייל"
"View Newsletter","הצג ניוזלטר"
"Website","אתר"
"You have been unsubscribed.","בוצעה הסרה מרישום לניוזלטר "
"Your subscription has been confirmed.","הרישום לניוזלטר אושר בהצלחה."
