"%s %s cycle.","%s %s מחזור."
"--Please Select--","--בחר אפשרות--"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Credit Card Validation","3D Secure Credit Card Validation"
"<label>Make Check payable to:</label> %s","<label>צ'ק לפקודת:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","עדרך נדרש להפעלה במצב לייב. פנה להסכם CardinalCommerce."
"Allow Initial Fee Failure","אפשר כשלון בתשלום עמלה ראשוני."
"An internal reference ID is required to save the payment profile.","קוד ID מפנה פנימי נדרש כדי לשמור את פרופיל התשלום"
"Auto Bill on Next Cycle","חשבונית אוטומטית במחזור הבא."
"Automatically Invoice All Items","צור חיוב באופן אוטומטי עבור על הפריטים"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","חייב באופן אוטומטי בסכום יתרת החוב המחזור החיוב הבא (אם היו תשלומים שנכשלו)."
"Billing Agreement status is not set.","לא הוגדר סטאטוס הסכם חיוב"
"Billing Amount","סכום חיוב"
"Billing Frequency","תדירות חיוב"
"Billing Period","זמן חיוב"
"Billing Period Unit","יחידת זמן חיוב"
"Billing period unit is not defined or wrong.","לא הוגדר או זמן חיוב שגוי"
"Cannot retrieve payment method instance.","לא ניתן לאחזר את שיטת התשלום"
"Cannot retrieve the payment info model object.","לא ניתן לאחזר אובייקט מודל פרטי תשלום"
"Cannot retrieve the payment method model object.","לא ניתן לאחזר אובייקט מודל שיטת תשלום"
"Card Verification Number","מספר CVV של הכרטיס"
"Centinel API URL","Centinel API URL"
"Check / Money Order","הזמנה צ'ק/מזומן"
"Credit Card Number","מספר כרטיס אשראי"
"Credit Card Number: xxxx-%s","מספר כרטיס אשראי: xxxx-%s"
"Credit Card Type","סוג כרטיס אשראי"
"Credit Card Type: %s","סוג כרטיס אשראי: %s"
"Credit Card Types","סוגי כרטיסי אשראי"
"Currency","מטבע"
"Currency code is undefined.","לא הוגדר קוד מטבע"
"Customer ID is not set.","קוד ID לקוח לא הוגדר"
"Day","יום"
"Debug Mode","מצב איתור באגים"
"Enabled","פעיל"
"Expiration Date","בתוקף עד"
"Expiration Date: %s/%s","תאריך תפוגה: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","שם מלא של האדם המקבל את המוצר או השירות המשולם בעזרת חיוב חוזר."
"Initial Fee","עמלה ראשונית"
"Initial non-recurring payment amount due immediately upon profile creation."," סכום תשלום לא מחזורי ראשוני שנוצר מיד עם יצירת הפרופיל  "
"Internal Reference ID","קוד ID מפנה פנימי"
"Issue Number","מספר גיליון/מהדורה"
"Make Check Payable to","עשה צ'ק ניתן לתשלום"
"Make Check payable to:","עשה צ'ק ניתן לתשלום:"
"Make Check payable to: %s","צ'ק לפקודת: %s"
"Maximum Billing Cycles","מחזור חיוב מקסימלי"
"Maximum Order Total","סה""כ מקסימלי להזמנה"
"Maximum Payment Failures","כשלון תשלום מקסימלי"
"Maximum Trial Billing Cycles","מחזור חיוב ניסיון מקסימלי"
"Merchant Id","קוד ID סוחר"
"Minimum Order Total","סה""כ מינימלי להזמנה"
"Month","חודש"
"N/A","לא זמין"
"Name on Card","שם בעל הכרטיס"
"Name on the Card","שם על הכרטיס"
"Name on the Card: %s","שם על כרטיס: %s"
"New Order Status","סטאטוס הזמנה חדשה"
"Number of billing periods that make up one billing cycle.","מספר זמני חיוב בכל מחזור חיוב."
"Overrides API URL that may be specified by a payment method.","עודף ממשק ניהול כתובת URL אשר יכולות להיות מצוינות על ידי שיטת תשלום."
"Password","סיסמא"
"Payment ID: %s","קוד תשלום: %s"
"Payment Method","שיטת התשלום"
"Payment Methods","שיטות תשלום"
"Payment Methods Section","איזור - שיטות תשלום"
"Payment Reference ID","קוד תשלום מפנה"
"Payment Services","שירותי תשלום"
"Payment from Applicable Countries","תשלום ממדינות אפשרויות"
"Payment from Specific Countries","תשלום ממדינות מסוימות"
"Payment method code is not set.","לא הוגדר קוד שיטת תשלום"
"Payment method code is undefined.","לא הוגדר קוד שיטת תשלום"
"Payment profile is invalid:\n%s","פרופיל תשלום לא תקין:\n%s"
"Period frequency is wrong.","זמן תדירות מחזור לא שגוי"
"Processor Id","קוד ID של מעבד"
"Purchase Order","הזמנה"
"Purchase Order Number","מספר הזמנה"
"Purchase Order Number:","מספר הזמנה:"
"Purchase Order Number: %s","מספר הזמנה: %s"
"Recurring Profile Start Date","תאריך התחלת פרופיל חוזר"
"Recurring profile start date has invalid format.","פורמט לא תקין של תאריך התחלת פרופיל חוזר"
"Reference ID is not set.","קוד ID של הפנייה לא הוגדר"
"Repeats %s time(s).","חוזר על עצמו  %s פעמים."
"Repeats until suspended or canceled.","חוזר על עצמו עד שמושהה או מבוטל"
"Request Card Security Code","קוד אבטחת כרטיס בקשה"
"Saved CC","נשמר CC"
"Schedule Description","תיאור לוח זמנים"
"Schedule description must be not empty.","תיאור זמנים חייב להכיל ערך"
"Send Check to","שלח צ'ק ל"
"Send Check to:","שלח צ'ק ל:"
"Severe 3D Secure Card Validation"," כרטיס אימות חמור של אבטחה 3D  "
"Severe validation removes chargeback liability on merchant.","אימות חמור מסיר chargeback אמינות של סוחר."
"Shipping Amount","כמות למשלוח"
"Short description of the recurring payment. By default equals to the product name.","תיאור קצר של תשלום חוזר. ערך ברירת מחדל יהיה שם המוצר"
"Sort Order","סדר מיון"
"Start Date","תאריך התחלה"
"Start date has invalid format.","פורמט לא תקין של תאריך התחלה"
"Start date is undefined.","לא הוגדר תהליך התחלה"
"Subscriber Name","שם נרשם"
"Switch/Solo/Maestro Issue Number","מספר פונה Switch/Solo/Maestro"
"Switch/Solo/Maestro Only"," רק Switch/Solo/Maestro "
"Switch/Solo/Maestro Start Date","תאריך התחלה Switch/Solo/Maestro"
"Tax Amount","סכום מע""מ"
"Test Mode","מצב בדיקה"
"The date when billing for the profile begins.","תאריך התחלת חיוב של פרופיל"
"The number of billing cycles for payment period.","מספר מחזורי החיוב עבור תקופת תשלום"
