" The customer does not exist in the system anymore.","הלקוח לא קיים במערכת. "
" [deleted]"," [מחק]"
" and ","ו/גם"
" note that the URLs provided below are the correct values for your current website): ","ודא כי כתובות ה URL המוזנות מתחת, בעלות הערכים הנכונין עבור האתר שלך: "
"%s (Default Template from Locale)","% (תבנית ברירת מחדל מ  Locale)"
"%s cache type(s) disabled.","% קבצי  cache לא מאושרים "
"%s cache type(s) enabled.","%קבצי  cache מאושרים "
"%s cache type(s) refreshed.","% קבצי  cache רועננו"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"," (עבור  ""שרת מקומי"" עליך לבחור נתיב יחסי בהתקנת מג'נטו var/export or var/import, לדוגמא var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(עבור ארה""ב - מדינה ב-2 אותיות)"
"(If left empty will be auto-generated)","(אם ריק, ייוצר אוטומטית)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(מפורטות יותר מדינות מהמפורט למטה. כבעלי האפליקציה, אתם אחראים לעמוד בחוקים המדיניים בדבר הפצת או מחירת האפליקציה שלכם למדינות הנבחרות , והמדינה שלכם .)"
"(Leave empty for first spreadsheet)","(השאר ריק עבור הגליון הראשון)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(המוצרים יתווספו/יעודכו לחנות זו אם עמודת 'חנות' ריקה או חסרה בקובץ המיובא)"
"(Shift-)Click or drag to change value","(Shift-)Click או גרירה לשינו ערך"
"(Starting with)","(מתחיל ב)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(בבחירת 'לא' רק שדות ממופים ייובאו. בעת מיפוי השתמש ב- 'עמודה1', 'עמודה2' וכו')"
"(You have to increase php memory_limit before changing this value)","(עליך להגדיל את הגבלת זכרון ה php לפני ביצוע שינויים של ערך זה)"
"(\\t for tab)","(\\t לטאב)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - אם מבוצע תהליך Indexing, התהליך יושבת ותהליך Indexing חדש יתחיל,"
"- Click on any of the time parts to increase it","- לחץ על חלקי הזמן כדי להגדילם"
"- Hold mouse button on any of the above buttons for faster selection.","- השאר את כפתור העכבר לחוץ על אחד הכפתורים העליונים לבחירה מהירה."
"- Use the %s buttons to select month","- השתמש בכפתורי ה- % לבחירת חודש"
"- Use the %s, %s buttons to select year","- השתמש ב-%, כפתורי % לבחירת שנה"
"- or Shift-click to decrease it","- או Shift-click בכדי להוריד"
"- or click and drag for faster selection.","- או לחץ וגרור לבחירה מהירה יותר."
"-- Not Selected --","-- לא נבחר --"
