"Add","הוסף"
"Add gift message for shopping cart","הוסף הודעת ברכה לעגלת קניות"
"Add gift messages for quote item of shopping cart","הוסף הודעת ברכה לפריט שנבחר מעגלת הקניות"
"Add gift messages to products of shopping cart","הוסף הודעת ברכה למוצרים בעגלת הקניות"
"Add gift options","הוסף אפשרות ברכה"
"Add gift options for Individual Items","הוסף אפשרויות ברכה לכל פריט בנפרד"
"Add gift options for the Entire Order","הוסף אפשרויות ברכה לכל ההזמנה"
"Add gift options.","הוסף אפשרויות ברכה"
"Allow Gift Messages for Order Items","אפשר צירוף ברכה לפריט מוזמן"
"Allow Gift Messages on Order Level","אפשר צירוף ברכה כללית להזמנה"
"An error occurred while saving the gift message.","ארעה שגיאה במהלך שמירת הודעת הברכה"
"Are you sure?","האם אתה בטוח?"
"Cancel","בטל"
"Do you have any gift items in your order?","האם יש פרטי ברכה בהזמנה?"
"Edit","ערוך"
"From","מ"
"Gift Message","ברכה"
"Gift Message API","ממשק ניהול הודעות ברכה"
"Gift Options","אפשרויות ברכה"
"Gift Options for","אפשרויות ברכה עבור"
"Gift Options for Individual Items","אפרויות ברכה עבור פריטים נפרדים"
"Gift Options for the Entire Order.","אפשרויות ברכה עבור ההזמנה כולה"
"Gift Options for this address.","אפשרויות ברכה עבור כתובת זאת"
"Item %d of %d","פריט %d מתוך %d"
"Message","הודעה"
"No","לא"
"OK","OK"
"Save Gift Message","שמור ברכה"
"The gift message has been removed","הודעת הברכה הוסרה בהצלחה"
"The gift message has been saved","הודעת הברכה נשמרה בהצלחה"
"The gift message has been saved.","הודעת הברכה נשמרה בהצלחה."
"To","עבור/ל/עד"
"Unknown entity type","סוג ישות לא ידוע"
"Use config","השתמש בהגדרות "
"Yes","כן"
"You can leave this box blank if you do not wish to add a gift message for the item.","אתה יכול להשאיר תיבה זאת ריקה אם אתה לא רוצה להוסיף נודעת ברכה לפריט זה"
"You can leave this box blank if you do not wish to add a gift message for this address.","אתה יכול להשאיר תיבה זאת ריקה אם אתה לא רוצה להוסיף נודעת ברכה לכתובת זאת"
"You can leave this box blank if you do not wish to add a gift message for whole order.","אתה יכול להשאיר תיבה זאת ריקה אם אתה לא רוצה להוסיף נודעת ברכה להזמנה כולה"
