"Add New Row","הוסף שורה"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","אלפבטי או מספרי, קו נתוי או קווים תחתונים מומלצים עבור שמות קבצים. תווים לא תקינים יולחפו ב: \'_\'."
"An error occurred while getting requested content. Please contact the store owner.","ארעה שגיעה במהלך קבלת התוכן המבוקש. אנא, צור קשר עם בעל החנות."
"An error occurred while getting the requested content.","ארעה שגיעה במהלך קבלת התוכן המבוקש"
"An error occurred while getting the requested content. Please contact the store owner.","ארעה שגיעה במהלך קבלת התוכן המבוקש. אנא, צור קשר עם בעל החנות."
"An error occurred while saving the file(s).","ארעה שגיאה בזמן שמירת הקובץ(ים)."
"Availability:","זמינות:"
"Back","חזור"
"Canceled","בוטל"
"Cannot connect to remote host, error: %s.","לא ניתן להתחבר לשרת , שגיאה: %s."
"Catalog Product View (Downloadable)","צפייה במוצרי קטלוג (ניתנים להורדה)"
"Customer My Account Downloadable Items","פריטים שניתנים להורדה בחשבון הלקוח"
"Date","תאריך"
"Default Link Title","כותרת ברירת מחדל של קישור"
"Default Maximum Number of Downloads","מספר מקסימלי של הורדות - ערך ברירת מחדל"
"Default Sample Title","ברירת מחדל - כותרת לדוגמא"
"Disable Guest Checkout if Cart Contains Downloadable Items","השהה ביצוע רכישה של אורח אם עגלת קניות מכילה פריטים להורדה."
"Downloadable Information","מוצר להורדה - מידע"
"Downloadable Product","מוצר להורדה"
"Downloadable Product Options","מוצר להורדה - אפשרויות"
"Downloadable product Section","איזור - מוצרים להורדה"
"Edit","ערוך"
"Edit item parameters","ערוך מאפייני פריט"
"Excl. Tax","לא כולל מס"
"File","קובץ"
"From:","מ:"
"Gift Message","ברכה"
"Go to <a href=""%s"">My Downloadable Products</a>","עבור ל <a href=""%s"">המוצרים המורדים שלי</a>"
"Guest checkout will only work with shareable.","צ'ק אאוט של לקוח יתאפשר רק עם מוצרים משותפים"
"In stock","במלאי"
"Incl. Tax","כולל מס"
"Invalid download URL host.","כתובת URL של שרת להורדה לא תקינה"
"Invalid download URL scheme.","כתובת URL של להורדה לא תקינה"
"Invalid download link type.","סוג קישור להורדה לא תקין"
"Invoiced","נרשם בחשבונית"
"Links can be purchased separately","ניתן לרכוש קישורים בצורה נפרדת"
"Max. Downloads","מקס. הורדות"
"Message:","הודעה:"
"Move to Wishlist","עבור לרשימת החלומות"
"My Downloadable Products","המוצרים שלי שניתנים להורדה"
"Open Links in New Window","פתח קישורים בחלון חדש"
"Order #","מס' הזמנה"
"Order Item Status to Enable Downloads","סטאטוס הזמנת פריט לניתן להורדה"
"Order id cannot be null","קוד הזמנה לא יכול להיות ריק"
"Order item id cannot be null","קוד הזמנת פריט לא יכול להיות ריק"
"Ordered","הוזמן"
"Out of stock","אין במלאי"
"Pending","בהמתנה"
"Please log in to download your product.","אנא, התחבר כדי להוריד את המוצר שלך"
"Please set resource file and link type.","אנא הגדר קובץ מקור וסוג קישור"
"Please specify product link(s).","ציין קישור(ים) למוצר"
"Price","מחיר"
"Qty","כמות"
"Refunded","הוחזר"
"Remaining Downloads","הורדות שנשארו"
"Remove Item","הסר"
"Requested link does not exist.","קישור מבוקש לא קיים"
"Sample","דוגמא"
"Shareable","שיתופי"
"Shipped","נשלח"
"Sort Order","מיון לפי"
"Start Download","התחל הורדה"
"Status","מצב"
"The file does not exist.","הקובץ לא קיים"
"The link has expired.","הקישור פג תוקף"
"The link is not available.","הקישור לא זמין"
"Title","כותרת"
"To:","עבור/ל/עד:"
"U","U"
"Unlimited","לא מוגבל"
"Use Content-Disposition","השתמש במיקום מחדש ל תוכן"
"View Order","הצג הזמנה"
"You have not purchased any downloadable products yet.","עדיין לא ביצעת רכישה של מוצרים להורדה"
"attachment","קובץ מצורף"
"download","הורד"
"inline","פנימי"
"sample","דוגמא"
