"A joint field with this alias (%s) is already declared.","שדה משותף עם שם זה (%s) כבר הוכרז."
"Add Option","הוסף אפשרות"
"An error occurred while loading a record, aborting. Error: %s","ארעה שיגאה במהלך טעינת רשומה, מבטל. שגיאה: %s"
"An error occurred while loading the collection, aborting. Error: %s","ארעה שגיאה במהלך טעינת האוסף, מבטל. שגיאה: %s"
"An error occurred while saving a record, aborting. Error: ","ארעה שיגאה במהלך שמירת הרשומה, מבטל. שגיאה: "
"Attempt to add an invalid object.","ניסיון להוסיף אובייקט לא תקין"
"Attribute '%s' used in configurable products.","תכונה '%s' בשימוש במוצרים מורכבים."
"Attribute Code","תכונה - קוד"
"Attribute Label","תכונה - תווית"
"Attribute Properties","תכונה - מאפיינים"
"Attribute set with the ""%s"" name already exists.","סט תכונות בשם ""%s"" כבר קיים."
"Attribute with the same code","מאפיין עם אותו קוד"
"Catalog Input Type for Store Owner","סוג קלט קטלוג עבור בעל החנות"
"Data integrity: No header row found for attribute.","שלמות נתונים: לא נמצאו שורות כותר עבור התוכנה"
"Date","תאריך"
"Decimal Number","מספר עשרוני"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","ברירת מחדל של סידור רשימת מודרים לא קיימת באפשרויות סידור רשימת מוצרים לפי"
"Default Value","ערך ברירת מחדל"
"Default option value is not defined.","לא הוגדרה אפשרות ברירת מחדל"
"Delete","מחק/מחיקה"
"Dropdown","תיבת בחירה"
"Email","מייל"
"Entity collection expected.","אוסף יישויות מצופה"
"Entity collections expected.","אוסף יישויות מצופה"
"Entity is not initialized.","לא ניזמה יישות"
"Failed to load node %s from config.","שגיאה בטעינת  node %s מההגדרות."
"For internal use. Must be unique with no spaces","לשימוש פנימי. צריך להיות ייחודי ללא רווחים"
"Form Element with the same attribute","אלמנט טופס עם אותה תכונה"
"Form Fieldset with the same code","טופס קובץ שדות עם אותו הקוד"
"Form Type with the same code","סוג טופס עם אותו קוד"
"Frontend label is not defined.","לא הוגדרה תצורת תצוגה"
"Input Validation for Store Owner","אישור קלט למנהל חנות"
"Integer Number","מספר שלם"
"Invalid EAV attribute.","תכונת EAV לא תקינה."
"Invalid alias, already exists in joint attributes.","כינוי לא חוקי, קיים כבר בתכונות משותפות"
"Invalid attribute name: %s.","שם תכונה לא תקינה: %s."
"Invalid attribute requested: %s","בקשה לא תקנית למאפיין %s"
"Invalid attribute type.","סוג תכונה לא תקינה"
"Invalid character encountered in increment ID: %s","תווים לא תקינים בקוד תוספת: %s"
"Invalid entity specified","צוינה יישות לא תקינה"
"Invalid entity supplied.","סופקה יישות לא תקינה"
"Invalid entity supplied: %s.","יישות לא תקינה סופקה: %s."
"Invalid entity type.","סוג יישות לא נגמר"
"Invalid entity_id, skipping the record.","קוד יישות לא תקין, מדלג על הרשומה"
"Invalid entity_type specified: %s","צוין סוג יישות לא תקין: %s"
"Invalid foreign key.","מפתח זר לא תקין"
"Invalid form type.","סוג טופס לא תקין"
"Invalid joint fields.","שדות מצורפים לא תקינים"
"Invalid store specified","צוינה חנות שגויה"
"Joined field with this alias is already declared.","שדות משותפים עם השם הנבחר כבר הוכרזו"
"Joint field or attribute expression with this alias is already declared.","שדות משותפים או תכונות עם השם הנבחר קיימים כבר"
"Letters","מכתבים"
"Letters (a-z, A-Z) or Numbers (0-9)","אותיות (a-z, A-Z) או ספרות (0-9)"
"Loaded %d records","%d רשומות נטענו"
"Multiple Select","בחירה מרובה"
"No","לא"
"No options found in config node %s","לא נמצאו אפשרויות בהגדרות node %s"
"None","ללא/כלום"
"Not shared with other products","לא משותף עם מוצרים אחרים"
"Problem loading the collection, aborting. Error: %s","שגיאה בטעינת אוסף, מבטל. שגיאה: %s"
"Problem saving the collection, aborting. Error: %s","בעייה בשמירת אוסף, מבטל פעולה. שגיאה: %s"
"Required","נחוץ"
"Saved %d record(s).","נשמרו %d רשומות.-"
"Scope must not be changed, because the attribute is used in configurable products.","המרחב חייב להיות שונה, התכונה משמשת להתאים מוצרים"
"System","מערכת"
"Text Area","שדה טקסט"
"Text Field","שדה טקסט"
"The attribute code \'%s\' is reserved by system. Please try another attribute code.","קוד תכונה \'%s\' שמור למערכת. אנא, נסה קוד תוכנה שונה."
"The value of attribute ""%s"" must be unique.","ערך התכונה ""%s"" חייב להיות ייחודי."
"This attribute is used in configurable products.","התכונה משמשת להגדרת מאפייני מוצר"
"URL","כתובת"
"Unique Value","ערך ייחודי"
"Unique Value (not shared with other products)","ערך ייחודי (לא משותף עם מוצרים אחרים)"
"Unknown parameter.","פרמטר לא מוכר"
"Valid store_id is expected.","קוד חנות תקין נדרש"
"Values Required","נדרשים ערכים"
"Wrong attribute ID.","קוד תכונה שוגי"
"Wrong attribute group ID.","קוד קבוצת תכונות שגוי"
"Wrong attribute set ID.","קוד סט תכונות שגוי"
"Wrong entity ID.","קוד יישומי שגוי"
"Yes","כן"
"Yes/No","כן/לא"
