"Add Recipient","הוסף נמען"
"Allow for Guests","אפשר לאורחים"
"An invalid email address for recipient was entered.","הוזנה כתובת דוא""ל לא תקינה של הנמען"
"At least one recipient must be specified.","חובה לציין לפחות נמען אחד"
"Back","חזור"
"Catalog Product Email to a Friend","שליחת דוא""ל מוצר קטלוג לחבר"
"Email Address","כתובת אי-מייל"
"Email Address:","אימייל:"
"Email Templates","תבניות דוא""ל"
"Email to a Friend","שלח לחבר"
"Email:","אימייל:"
"Enabled","פעיל"
"Invalid Sender Information","פרטי שולח לא תקינים"
"Invalid sender email.","דוא""ל שולח לא תקין"
"Limit Sending By","הגבל שליחת מייל ב"
"Max Products Sent in 1 Hour","מספר מוצרים מקסימלי שנשלח בשעה אחת"
"Max Recipients","מקסימום נמענים/מקבלים"
"Maximum %d email addresses allowed.","מקסימום %d כתובות אימייל מורשה."
"Message:","הודעה:"
"Name","שם"
"Name:","שם:"
"No more than %d emails can be sent at a time.","לא ניתן לשלוח יותר מ  %d  מיילים בבת אחת."
"Please define a correct Cookie instance.","אנא ציין ערכאת עוגייה תקינה"
"Please define a correct Product instance.","אנא ציין ערכאת מוצר תקינה"
"Please define the correct Sender information.","אנא ציין את פרטי השולח הנכוני"
"Recipient:","נמען/מקבל:"
"Remove Email","הסר אימייל"
"Select Email Template","בחר תבנית דוא""ל"
"Send Email","שלח דוא""ל"
"Send product to a friend","שלח מוצר לחבר"
"Sender:","השולח:"
"Some emails were not sent.","חלק מהמיילים לא נשלחו"
"The link to a friend was sent.","הקישור נשלח לחבר"
"The message cannot be empty.","ההודעה לא יכולה להיות ריקה מתוכן"
"The messages cannot be sent more than %d times in an hour","לא ניתן לשלוח את ההודעה יותר מ  %d פעמים בשעה"
"The sender name cannot be empty.","חובה להזין שם שולח"
"There were some problems with the data.","היו בעיות עם המידע שנשלח"
"You have exceeded limit of %d sends in an hour","עברת את המכסה של  %d שליחות בשעה"
