"""%s"" contains not only digit characters.","""%s"" מכיל תווים שהם לא רק ספרות."
"""%s"" does not fit the entered date format.","""%s"" לא תואם את פורמט התאריך שהוזן."
"""%s"" exceeds the allowed file size.","""%s"" חורג מהגודל המותר."
"""%s"" exceeds the allowed length.","""%s"" חורג מהאורך המותר."
"""%s"" has not only alphabetic and digit characters.","""%s"" מכיל לא רק תווים אלפבתים ודיגיטליים."
"""%s"" has not only alphabetic characters.","""%s"" מכיל לא רק תווים אלפבתים."
"""%s"" height exceeds allowed value of %s px.","""%s"" הגובה שהוזן חורג מהערך המותר של  %s px."
"""%s"" invalid type entered.","""%s"" הוזן סוג לא תקין."
"""%s"" is a required value.","""%s"" הוא ערך נדרש."
"""%s"" is an empty string.","""%s"" הוא שרשרת ריקה."
"""%s"" is not a valid URL.","""%s"" הוא לא URL תקין."
"""%s"" is not a valid date.","""%s"" הוא לא תאריך תקין."
"""%s"" is not a valid email address.","""%s""הוא לא כתובת דוא""ל תקינה."
"""%s"" is not a valid file","""%s""הוא לא קובץ תקין"
"""%s"" is not a valid file extension.","""%s"" הוא לא הרחבת קובץ תקינה."
"""%s"" is not a valid file.","""%s"" הוא לא קובץ תקין."
"""%s"" is not a valid hostname.","""%s"" הוא לא שם שרת תקין."
"""%s"" is not a valid image format","""%s"" הוא לא פורמט תמונה תקין"
"""%s"" length must be equal to or greater than %s characters.","אורך ""%s"" חייבת להיות שווה או יותר מ %s characters."
"""%s"" length must be less than or equal to %s characters.","אורך ""%s"" חייבת להיות פחות או שווה ל %s characters."
"""%s"" width exceeds allowed value of %s px.","רוחב ""%s""  חורג מהערך של %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","%value%' נראה כשם שרת  DNS אך לא מצליח לשלוף חלק TLD "
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","%value%' נראה כשם שרת DNS אבל לא תואם רשימות קיימות של  TLD "
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' נראה כשם שרת  DNS אבל לא תואם שמות שרת עבור  TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","%value%' נראה כשם שרת DNS אבל קיים מקף במקום לא תקין"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' נראה כשם שרת  DNS אבל קוד punycode לא ניתן לקידוד"
"'%value%' appears to be a local network name but local network names are not allowed","%value%' נראה כשם רשת מקומית אבל שמות רשתות מקומיות לא מאושרות לשימוש"
"'%value%' appears to be an IP address, but IP addresses are not allowed","%value%' נראה ככתובת  IP , אבל כתובות  IP לא מאושרות לשימוש"
"'%value%' does not appear to be a valid URI hostname","%value%' לא נראה כשם שרת תקין"
"'%value%' does not appear to be a valid local network name","%value%' לא נראה כשם רשת מקומית תקין"
"'%value%' does not match the expected structure for a DNS hostname","%value%' לא תואם את המבנה המצופה משם שרת DNS"
"* Required Fields","* שדות חובה"
"A new password has been sent.","סיסמה חדשה נשלחה"
"ALL GROUPS","כל הקבוצות"
"Account Dashboard","חשבון - לוח ניהול"
"Account Information","מידע אודות חשבונך"
"Account Sharing Options","אופציות שיתוף חשבון"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","פרטי חשבון נדרשים, אנא בדקו את הדוא""ל לקבלת קישור אישור הרשמה. כדי לשלוח מייל אישור רישום מחדש <a href=""%s"">לחץ כאן</a>."
