"Action","פעולה"
"Add Sitemap","הוסף מפת אתר"
"Always","תמיד"
"CMS Pages Options","מע' ניהול תוכן - אפשרויות עמודים"
"Categories Options","אפשריות קטגוריות"
"Daily","יומי"
"Edit Sitemap","ערוך מפת אתר"
"Enabled","פעיל"
"Error Email Recipient","שגיאה באימייל הנמען"
"Error Email Sender","שגיאה באימייל השולח"
"Error Email Template","שגיאה בתבנית האימייל"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","לא יכול לשמור קובץ ""%s"". בדוק שלשרת ישנה הרשאת כתיבה לתיקיית ""%s""."
"Filename","שם קובץ"
"Frequency","תדירות"
"Generate","צור"
"Generation Settings","מאפייני יצירה"
"Google Sitemap","Google מפת אתר של "
"Hourly","מידי שעה"
"ID","קוד/ת.ז/זיהוי"
"Last Time Generated","זמן אתחול/יצירה אחרונה"
"Link for Google","קישור עבור גוגל"
"Monthly","חודשי"
"Never","לעולם לא"
"New Sitemap","מפת אחר חדשה"
"Path","נתיב"
"Please create the specified folder ""%s"" before saving the sitemap.","אנא , צור את התיקייה הנדרשת  ""%s"" לפני שמירת מפת אתר."
"Please define correct path","אנא, הגדר נתיב תנכון"
"Please make sure that ""%s"" is writable by web-server.","ודא כי על השרת   ""%s""  ניתן לבצע שכתובים."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","אנא השתמש באותיות (a-z או A-Z) או בספרות (0-9) או בקו תחתון (_) בשם הקובץ. רווחים ותווים אחרים לא מורשים."
"Priority","עדיפות/מועדף"
"Products Options","אפשרויות מוצרים"
"Sitemap","מפת אתר"
"Sitemap generate Warnings","אזהרות שנוצרו ממפת האתר"
"Start Time","שעת התחלה"
"Store View","תצוגת חנות"
"The priority must be between 0 and 1.","העדיפות חייבת להיות בין 0 ל 1"
"The sitemap ""%s"" has been generated.","מפת את ר ""%s"" נוצרה בהצלחה."
"The sitemap has been deleted.","מפת האתר נמחקה"
"The sitemap has been saved.","מפת האתר נשמרה"
"This sitemap no longer exists.","מפת האתר לא קיימת"
"Unable to find a sitemap to delete.","לא נמצאו מפות אתר למחקיה"
"Unable to find a sitemap to generate.","לא נמצאה מפת אתר ליצירה"
"Unable to generate the sitemap.","לא ניתן ליצור מפת אתר"
"Valid values range: from 0.0 to 1.0","טווח ערכים תקין :  מ 0.0 עד 1.0."
"Weekly","שבועי"
"Yearly","שנתי"
