"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Cardholder Validation","3D Secure Cardholder Validation"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure Verification Result"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","אמינות בעל הכרטיס"
"Card Verification","אישור כרטיס"
"Enrolled","נרשם"
"Enrolled but Authentication Unavailable","נרשם אבל אישור לא זמין"
"Failed","נכשל"
"MasterCard SecureCode"," קוד  MasterCard מאובטח"
"Merchant Liability","אמינות סוחר"
"Not Enrolled","לא נרשם"
"Order cannot be placed.","לא ניתן לבצע הזמנה"
"Payment information error. Please start over.","טעות בפרטי תשלום. אנא, התחל מחדש"
"Please continue with placing order.","אנא המשך בביצוע ההזמנה"
"Please verify the card with the issuer bank before placing the order.","אנא ודא את התאמת הכרטיס עם הנק לפני ביצוע הזמנה"
"Please verify the card with the issuer bank:","אנא ודא את הכרטיס עם הבנק של הפונה"
"Start/Reset Validation...","התחל/התחל מחדש את תהליך האישור..."
"Successful","בדיקה מוצלחת"
"Successful attempt","ניסיון מוצלח"
"The card has failed verification with the issuer bank.","פרטי הכרטיס לא תואמים את פרטי הבנק של הפונה"
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","הוכנסו פרטי תשלום לא נכונים או שזמן התהליך תם. אנא, נסה שנית."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","הוכנסו פרטי תשלום לא נכונים או שזמן התהליך תם. אנא, נסה שנית."
"This card has failed validation and cannot be used.","הכרטיס לא עבר תהליך אישור ולכן לא ניתן להשתמש בו."
"This card has failed validation, but it is possible to place the order.","הכרטיס לא עבר תהליך אישור, אבל ניתן לבצע את ההזמנה"
"To ensure the security of your transactions","כדי לאבטח את תהליך ההעברה"
"Unable to complete","לא ניתן להשלים את התהליך"
"Validation failed.","תהליך אישור נכשל"
"Verification Failed","תהליך אישור נכשל"
"Verification Successful","תהליך אישור הסתיים בהצלחה"
"Verification cannot be processed","לא ניתן להמשיך תהליך אישור"
"Verified by Visa","אושר על ידי Visa"
