"Action","פעולה"
"An error occurred while writing to the backup file ""%s"".","שיגאה ארעה במהלך כתיבת קובץ הגיבוי  ""%s""."
"Backup file ""%s"" cannot be read from or written to.","קובץ הגיבוי ""%s"" לא קריא ולא ניתן לכתוב עליו"
"Backup file ""%s"" does not exist.","קובץ גיבוי ""%s""לא קיים."
"Backup file does not exist.","קובץ גיבוי לא קיים"
"Backup file handler was unspecified.","נבחר handler עבור קובץ גיבוי"
"Backup file path was not specified.","נתיב קובץ גיבוי לא צויין"
"Backups","גיבויים"
"Cannot read backup file.","לא ניתן לקרוא קובץ גיבוי."
"Create Backup","צור גיבוי"
"DB","בסיס נתונים"
"Database was successfuly backed up.","נסד הנתונים גובה בהצלחה"
"Download","הורד"
"Size, Bytes","גודל, Bytes"
"The file was compressed with Zlib, but this extension is not installed on server.","הקובץ  נדחס על ידי Zlib, אבל תוסף זה לא מותקן על השרת."
"Time","שעה/זמן"
"Type","סוג"
"Unable to create backup. Please, try again later.","לא יכול ליצור גיבוי. אנא נסה מאוחר יותר."
"Wrong order of creation for new backup.","סדר לא נכון ביצירת גיבוי חדש"
