"Account Login","התחברות לחשבון"
"Account Password","סיסמה"
"Account Type","סוג חשבון"
"Active","פעיל"
"Add Attribute Mapping","תכונה - הוסף מיפוי"
"Add New Attribute","הוספת תיאור חדש"
"Add to Google Base","הוסף ל- Google Base"
"Are you sure?","האם אתה בטוח?"
"Attribute","תכונה"
"Attribute Set","סט תכונות"
"Attribute Set and Item Type","סט תכונות וסוג פריט"
"Attributes","תכונות"
"Attributes Mapping","מיפוי תכונות"
"Attributes Set","סט תכונות"
"AuthSub","AuthSub"
"Available Products","מוצרים זמינים"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","מטבע בסיסי צריך להיות מוגדר ל %s עבור %s בהגדרות מערכת. אחרת המחירים לא יהיו מדוייקים ב Google Base."
"British Pound Sterling","סטרלינג בריטי"
"Cannot update Google Base Item for Store '%s'","לא ניתן לעדכן פריט  Google Base בחנות '%s'"
"Captcha confirmation error: %s","שגיאה באישור ויזואלי: %s"
"Captcha has been confirmed.","קאפ'צה אושרה"
"Catalog","קטלוג"
"Clicks","קליקים"
"ClientLogin","התחברות לקוחות"
"Confirm","אשר"
"Current Mapping will be reloaded. Continue?","מיפוי נוכחי יטען מחדש. האם להמשיך?"
"Custom attribute, no mapping","תכונה מותאמת אישית, ללא מיפוי"
"Delete","מחק/מחיקה"
"Delete Mapping","מחק מיפוי"
"Edit Item Type","ערוך סוג פריט"
"Edit Item Type ""%s""","ערוך סוג פריט ""%s"""
"Error: %s","שגיאה: %s"
"Euro","יורו"
"Expires","פג תוקף"
"Germany","גרמניה"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google Base תכונות"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base סוג פריט"
"Google Base Item type","Google Base סוג פריט"
"Google Base Items","Google Base פריטי"
"Google base","Google base"
"Hide","הסתר"
"Hosted","מאוכסן"
"Hosted or Google","מאוכסן או Google"
"Impr.","ייבוא"
"Invalid Product Model for Google Base Item","מודל מוצר לא תקין עבור פריט Google Base "
"Item Type was deleted","סוג הפריט נמחק"
"Item Types","סוגי פריטים"
"Item model is not specified to delete Google Base entry.","מודל פריט לא צוין למחיקה של כניסה ל Google Base ."
"Items","פריטים"
"Manage Attribute Mapping","ניהול מיפוי תכונות"
"Manage Attributes","ניהול תכונות/מאפיינים"
"Manage Items","ניהול פריטים"
"New Item Type","סוג פריט חדש"
"New ItemType","סוג פריט חדש"
"No","לא"
"No items were deleted from Google Base","לא נמחקו פריטים מ Google Base"
"No items were published","לא פורסמו פריטים"
"No items were saved as inactive items","לא נשמרו פריטים כפריטים לא פעילים"
"No products were added to Google Base","לא נוספו פריטים ל Google Base"
"Object model is not specified to save Google Base entry.","מודל אובייקט לא צוין כדי לשמור כניסה ל Google Base."
"Please, select Attribute Set and Google Item Type to load attributes","אנא, בחר קובץ תכונות לסוג פריטי Google כדי לטעון תכונות"
"Product Name","שם המוצר"
"Publish","פרסם"
"Published","פורסם"
"Remove","הסר"
"Save Mapping","שמור מיפוי"
"Session expired during export. Please revise exported products and repeat the process if necessary.","התהליך פג תוקף במהלך היצוא. אנא , תקן מוצרים מיוצאים ונסה שנית במידת הצורך."
"Synchronize","סנכרן"
"Target Country","מדינת יעד"
"The item type has been saved.","סוג פריט נשמר בהצלחה"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","פעולה זאת תעדכן סטאטוס פריטים ותסיר מוצרים אשר אינם זמינים ב Google Base. האם להמשיך?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","סה""כ %d פריטים נמחקו; סה""כ %d פריטים שודרגו."
"Total of %d items(s) have been published.","סה""כ %d פריטים פורסמו."
"Total of %d items(s) have been removed from Google Base.","סה""כ of %d פריטים הוסרו מ Google Base."
"Total of %d items(s) have been saved as inactive items.","סה""כ %d פריטים נשמרו כלא פעילים."
"Total of %d product(s) have been added to Google Base.","סה""כ %d פריטים נוספו ל Google Base."
"US Dollar","US דולר"
"Unable to connect to Google Base. Please, check Account settings in configuration.","לא ניתן להתחבר ל Google Base. אנא, בדוק הגדרות חשבון"
"Unable to select a Store View.","לא ניתן לבחור תצוגת חנות"
"United Kingdom","אנגליה"
"United States","ארה""ב"
"Update Google Base Item when Product is Updated","עדכן פריט  Google Base כאשר המוצר מתעדכן"
"View Available Products","סקור מוצרים זמינים"
"View Item in Google Base","סקור פריט ב Google Base"
"Yes","כן"
