"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - תואם ל; 'xyz*' - תואם לכל מה שמתחיל בתווים 'xyz' ולא יותר ארוך מ %d."
"-- Please Select --","-- בחר מהרשימה --"
"Add New Class","מחלקה חדשה"
"Add New Tax Rate","הוספת תעריף מע""מ חדש"
"Add New Tax Rule","חק מיסוי חדש"
"After Discount","לאחר הנחה"
"An error occurred while deleting this rate.","ארעה שגיאה במהלך מחיקת שיעור המס"
"An error occurred while deleting this rate. Incorrect rate ID.","ארעה שגיאה במהלך מחיקת שיעור המס. קוד שיעור מס שגוי."
"An error occurred while deleting this tax class.","ארעה שגיאה במהלך מחיקת סוג המס."
"An error occurred while deleting this tax rule.","ארעה שגיאה במהלך מחיקת חוק שיעור המס."
"An error occurred while saving this rate.","ארעה שגיאה במהלך שמירת שיעור המס."
"An error occurred while saving this tax class.","ארעה שגיאה במהלך שמירת סוג המס."
"An error occurred while saving this tax class. A class with the same name already exists.","ארעה שגיאה במהלך שמירת סוג המוס. סוג מס עם שם זה קיים."
"An error occurred while saving this tax rule.","ארעה שגיאה במהלך שמירת חוק המס."
"Apply Customer Tax","הפעל מע""מ לקוח"
"Apply Discount On Prices","הפעל הנחה על המחירים"
"Apply Tax On","הפעל מס על"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","הפעלת הנחה על מחירים הכוללים מע”מ מחושבים לפי מע”מ החנות, אם  אפשרות “הפעל מע”מ לאחר הנחה”  נבחרה."
"Are you sure you want to do this?","האם אתה בטוח שברצונך להמשיך?"
"Back","חזור"
"Before Discount","חלפני הנחה"
"CSV","CSV"
"Calculation Settings","הגדרות חישוב"
"Catalog Prices","מחירי קטלוג"
"Class Name","שם מחלקה"
"Code","קוד"
"Country","ארץ"
"County","ארץ"
"Custom price if available","מחיר מותאם אם קיים"
"Customer Tax Class","לקוח - מדרגת מס"
"Customer Tax Class Information","לקוח - מידע מדרגת מס"
"Customer Tax Classes","לקוח - מדרגות מס"
"Default Country","ארץ ברירת מחדל"
"Default Post Code","מיקוד ברירת מחדל"
"Default State","מדינת ברירת מחדל"
"Default Tax Destination Calculation","חישובי מס ברירת מחדל לפי יעד"
"Delete Class","מחק מחלקה"
"Delete Rate","מחק שער/דירוג/ערך"
"Delete Rule","מחק חוק"
"Display Full Tax Summary","הצג סיכום מע""מ כולל"
"Display Prices","הצג מחירים"
"Display Product Prices In Catalog","הצג מחירי מוצרים בקטלוג."
"Display Shipping Amount","הצג כמויות משלוח"
