" "," "
" But cart has some errors.","אבל יש שגיאות בעגלה"
"""Description"" is more than %d characters long","""תיאור"" הוא באורך של יותר מ %d  תווים"
"""Title"" is more than %d characters long","""כותרת"" היא באורך של יותר מ %d תוויפ"
"%1$s has been added to your wishlist.","%1$s התווסף לרשימת המשאלות שלך."
"%1$s incl tax.","%1$s כולל מע""מ."
"%s API Key required.","%s  מפתח API נדרש."
"%s Application ID required.","%s נדרש קוד אפליקציה."
"%s Secret Key required.","%s מפתח סודי נדרש."
"%s has been added to your cart.","%s התווסף לעגלת הקניות שלך."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(כולל יותר מדינות .כבעל האפליקציה, אתה אחראי לעמוד בדרישות החוקיות שנוגעות להפצה ומחירה של האפליקציה במדינות שלך.)"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","אפליקציה לקטלוג בלבד לא תתמוך בפעולות כנו הוספה לעגלה, רשימת משאלות או התחברות."
"A new password has been sent.","נשלחה סיסמא חדשה"
"Account","חשבון"
"Account confirmation is required. Please check your email for the confirmation link.","אישור חשבון נידרש. היכנס לדו""אל האישור ולחץ על הקישור."
"Account information has been saved.","פרטי חשבון נשמרו בהצלחה"
"Action","פעולה"
"Activate","הפעל"
"Activate PayPal Checkout","הפל צ'ק אאוט PayPal "
"Activation Key","מפתח הפעלה"
"Add App","הוסף אפליקציה."
"Add New Template","הוסף תבנית חדשה"
"Add Page","הוסף עמוד."
"Add to Cart","הוסף לסל"
"Add to Wishlist","הוסף ל wishlist"
"Additional Address","כתובת נוספת"
"Additional Countries","מדינות נוספות."
"Address","כתובת"
"Address 2","כתובת שנייה"
"Address data not specified.","פרטי כתובת לא צוינו."
"Address does not belong to this customer.","הכתובת לא שייכות ללקוח הנבחר."
"Address has been deleted.","הכתובת נמחקה"
"Address has been saved.","הכתובת נשמרה"
"Administrative contact for this app and for app submission issues.","פרטי מנהל לאפליקציה ולנושאי רישום"
"Advanced Settings","הגדרות מתקדמות"
"After submitting the App, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.<br />Upon receiving these credentials, please fill in the corresponding fields.<br />In addition, please accept Urban Airship\'s Terms of Service: <a href=""%2$s"" target=""_blank"">click here</a>.","לאחר רישום לאפליקציה הזאת, אנא צור קשר  <a href=""mailto:%1$s"">%1$s</a> כדי לקבל מפתח הפעלה, קוד סודי של אפליקציה וקוד ראשי  .<br />לאחר הקבלה של אישורים אלה , מלא את השדות הנוספים.<br />בנוסף, אנא קבל את תנאי השימוש של  Urban Airship\'s : <a href=""%2$s"" target=""_blank"">לחץ here</a>."
"AirMail Message Queue","תור הודעה AirMail "
"AirMail Messages Queue"," תור הודעות AirMail  "
"AirMail Template Preview","תצוגה מקדימה של תבניות AirMail"
"AirMail message","הודעות AirMail "
"AirMail templates","תבניות AirMail"
"All locations","כל המיקומים"
"An account with this email address already exists.","חשבון עם כתוב הדוא""ל שבחרת קיים כבר"
"An error occurred while adding item to wishlist.","ארעה שגיאה במהלך הוספת פריט לרשימת משאלות ."
"An error occurred while deleting the address.","ארעה שגיאה במהלך מחיקת הכתובת ."
"An error occurred while loading category filters.","ארעה שגיאה במהלך טעינת פילטר קטגוריה."
"An error occurred while processing your order. Please contact us or try again later.","ארעה שגיאה במהלך עיבוד ההזמנה שלך. אנא צור קשר או נסה שנית מאוחר יותר ."
"An error occurred while processing your request.","ארעה שגיאה במהלך עיבוד הבקשה שלך."
"An error occurred while removing item from wishlist.","ארעה שגיאה במהלך הסרת פריט מרשימת משאלות ."
"An error occurred while removing items from wishlist.","ארעה שגיאה במהלך הסרת פריטים מרשימת משאלות ."
"Analytics","Analytics"
"Android","Android"
"App Background","הוסף רקע"
"App Background (landscape mode).","הוסף רקע (מצב נוף)."
"App Background (portrait mode).","הוסף רקע (מצב פורטרט)."
"App Background <br />(landscape mode)","הוסף רקע <br />(מצב נוף)"
"App Background <br />(portrait mode)","הוסף רקע <br />(מוד פורטרט)"
"App Background image missing.","הוסף תמונת רקע חסרה."
"App Code","קוד אפליקציה"
