"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s התווסף לרשימת משאלות. לחץ <a href=""%2$s"">כאן</a>כדי להמשיך בביצוע רכישות"
"%1$s has been updated in your wishlist.","%1$s has been updated in your wishlist."
"%d product(s) have been added to shopping cart: %s.","%d מוצר(ים) התווספו לעגלת הקניות : %s."
"%s for ""%s"".","%s עבור ""%s""."
"%s's Wishlist","% רשימת מוצרים משותפת"
"* Required Fields","* שדות חובה"
"Add All to Cart","הוסף הכל לסל"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוסף ל wishlist"
"Added From","נוסף מ"
"Added On","התווסף מוצר"
"An error occurred while adding item to wishlist.","ארעה שגיאה במהלך הוספת הפריט לרשימת המשאלות"
"An error occurred while adding item to wishlist: %s","ארעה שגיאה במהלך הוספת הפריט לרשימת המשאלות: %s"
"An error occurred while deleting the item from wishlist.","ארעה שגיאה במהלך מחיקת הפריט מרשימת המשאלות"
"An error occurred while deleting the item from wishlist: %s","ארעה שגיאה במהלך מחיקת הפריט מרשימת המשאלות : %s"
"An error occurred while updating wishlist.","ארעה שגיאה במהלך עדכון רשימת המשאלות"
"Are you sure you want to remove this product from your wishlist?","האם הנך בטוח שברצונך להסיר את המוצר מרשימת המוצרים האישית?"
"Are you sure you would like to remove this item from the wishlist?","האם להסיר פריט זה מרשימת החלומות?"
"Back","חזור"
"Can\'t delete item from wishlist","לא ניתן למחוק פריט מרשימת משאלות"
"Can\'t save description %s","לא יכול לשמור תיאור"
"Can\'t update wishlist","לא ניתן לעדכן רשימת משאלות"
"Cannot add item to shopping cart","לא ניתן להוסיף פריט לעגלת הקניות"
"Cannot add the item to shopping cart.","לא ניתן להוסיף פריט לעגלת הקניות"
"Cannot configure product","לא ניתן לבצע התאמות במוצר"
"Cannot create wishlist.","לא ניתן ליצור רשימת משאלות"
"Cannot load wishlist item","לא ניתן לטעון פריט רשימת משאלות"
"Cannot specify product.","לא ניתן לבחור מוצר"
"Cannot specify wishlist item.","לא ניתן לבחור פריט מרשימת משאלות"
"Cannot specify wishlist.","לא ניתן לבחור רשימת משאלות"
"Cannot update wishlist","לא ניתן לעדכן רשימת משאלות"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","סמן אם ברצונך להוסיף קישור ל- RSS של רשימת החלומות"
"Comment","הערה"
"Comment:","הערה:"
"Configure Wishlist Item","ערוך פריט מרשימת משאלות"
"Configured Price:","מחיר מותאם:"
"Customer My Account My Wishlist","רשימות המשאלות של לקוח"
"Customer My Account Wishlist Sharing Form","טופס שיתוף רשימת משאלות של לקוח"
"Customer Shared Wishlist View","תצוגת רשימת משאלות ששותפה על ידי הלקוח"
"Date Added","תאריך התווספות"
"Days in Wishlist","ימים ברשימת החלומות"
"Display Wishlist Summary","הצג סיכום רשימת משאלות"
"Edit","ערוך"
"Email Sender","אימייל השולח/שלח אימייל לשולח"
"Email Template","תבנית אימייל"
"Email address can\'t be empty.","כתובת אימייל לא יכולה להיות ריקה."
"Email addresses, separated by commas","כתובות אימייל, מופרדות בפסיק"
"Enabled","פעיל"
"General Options","אפשרויות כלליות"
"Go to Wishlist","עבור לרשימת מוצרים אישית"
"Helper for wishlist options rendering doesn't implement required interface.","עזרה עבור אפשרויות רשימת המשאלות לא ישים בממשק הנדרש"
"Last Added Items","פריטים שנוספו לאחרונה"
"Message","הודעה"
"My Wishlist","רשימת החלומות שלי"
"My Wishlist (%d item)","רשימת החלומות שלי (%d פריט)"
"My Wishlist (%d items)","רשימת החלומות שלי (%d פריטים)"
"My Wishlist <small>(%d)</small>","רשימת המשאלות שלי<small>(%d)</small>"
"My Wishlist Link","קישור המשאלות שלי"
"Options Details","פרטי אפשרויות"
"Out of stock","אין במלאי"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","הכנס כתובות מייל תקינות, מופרדות בפסיק, לדוגמא johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","אנא, הכנס כתובת דוא""ל תקינה"
"Please, enter your comments...","הכנס הערה בבקשה..."
"Product","מוצר"
"Product(s) %s have required options. Each of them can be added to cart separately only.","מוצר(ים) %s יש אפשרויות נדרשות. ניתן להוסיף כל אחד מהמוצרים בצורה נפרדת בלבד."
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","קישור RSS לרשימת החלומות של %s"
"Remove Item","הסר"
"Remove This Item","הסר פריט זה"
"Remove item","הסר"
"Share Options","שתף אפשרויות"
"Share Wishlist","שתף רשימת מוצרים אישית"
"Share Your Wishlist","שתף ברשימת מוצרים אישית"
"Sharing Information","מידע על השיתוף"
"This product(s) is currently out of stock","מוצרים כרגע ללא מלאי"
"Unable to add the following product(s) to shopping cart: %s.","לא ניתן להוסיף את המוצרים הבאים לעגלת הקניות: %s."
"Update Wishlist","עדכן רשימת מוצרים אישית"
"User description","תיאור משתמש"
"View Details","הצג פרטים"
"View Product","צפה במוצר"
"Wishlist","רשימת החלומות"
"Wishlist Section","איזור - רשימת החלומות"
"Wishlist Sharing","שיתוף רשימת מוצרים אישית"
"Wishlist is empty now.","רשימת החלומות ריקה כעת."
"You have no items in your wishlist.","אין פריטים ברשימת מוצרים אישית."
"Your Wishlist has been shared.","רשימת המשאלות שלך שותפה בהצלחה"
