"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","כל כרטיסי האשראי / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) – בין לאומיים"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (powered by Moneybookers) – איטליה"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (powered by Moneybookers) – צרפת"
"Customer ID","קוד ID של לקוח"
"Dankort (powered by Moneybookers) - Denmark","Dankort (powered by Moneybookers) – דנמרק"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (powered by Moneybookers) – אוסטריה"
"Enabled","פעיל"
"Find out more about Online Bank Transfer","למד עוד אודות העברה בנקאית מקוונת"
"Giropay (powered by Moneybookers) - Germany","Giropay (powered by Moneybookers) – גרמניה"
"Laser (powered by Moneybookers) - Ireland","Laser (powered by Moneybookers) – אירלנד"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (powered by Moneybookers) – גרמניה"
"Loading secure payment page (SSL)","טוען דף תשלום מאובטח (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (powered by Moneybookers) - אנגליה, אוסטריה, ספרד"
"Moneybookers","Moneybookers"
"Moneybookers Settings"," הגדרות Moneybookers "
"Moneybookers Transaction ID: %s"," קוד עסקת Moneybookers : %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","מידע נוסף אודות  Moneybookers "
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (powered by Moneybookers) – פינלנד"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (powered by Moneybookers) – שוודיה"
"Online Bank Transfer (powered by Moneybookers)","העברה בנקאית מקוונת  (powered by Moneybookers)"
"Order ID","קוד ID הזמנה"
"POLi (powered by Moneybookers) - Australia","POLi (powered by Moneybookers) – אוסטרליה"
"Payment failed.","תשלום נכשל."
"Payment from Applicable Countries","תשלום ממדינות אפשריות."
"Payment from Specific Countries","תשלום ממדינות נבחרות."
"Payment has not been processed yet.","התשלום לא עובד עדיין."
"Payment was canceled.","התשלום בוטל."
"Pending bank transfer created.","נוצרה המתנה להעברה בנקאית."
"Please pay your order now","אנא שלם עבור ההזמנה שלך"
"Postepay (powered by Moneybookers) - Italy","Postepay (powered by Moneybookers) – איטליה"
"Powered by Moneybookers","מופעל על ידי Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (powered by Moneybookers) – פולין"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (powered by Moneybookers) – גרמניה"
"Sort Order","מיון לפי"
"The amount has been authorized and captured by Moneybookers.","הסכום אושר והתקבל על ידי Moneybookers."
"The customer was redirected to Moneybookers.","הלקוח הופנה ל Moneybookers."
"The order has been canceled.","ההזמנה בוטלה"
"Title","כותרת"
"You will be redirected to our secure payment page when you place an order.","אתה תועבר לדף המאובטח כאשר תבצע הזמנה"
"eNETS (powered by Moneybookers) - Singapore","eNETS (powered by Moneybookers) – סינגפור"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (powered by Moneybookers) – הולנד"
"Secret Word","מילת זיהוי סודית"
"Email Address of Your Moneybookers Account","כתובת הדואר האלקטרוני של חשבון Moneybookes שלך"
