" was not delivered nor scanned","לא נשלח ולא נסרק"
"1 Day Freight","משלוח ביום אחד"
"2 Day Freight","משלוח בשני ימים"
"2Day","יומיים"
"2nd Day Air","יום שני של דואר אוויר"
"2nd Day Air AM","AM יום שני של דואר אוויר "
"2nd Day Air AM Letter","מכתב AM יום שני של דואר אוויר"
"2nd Day Air Letter","מכתב יום שני של דואר אוויר"
"3 Day Freight","משלוח בשלושה ימים"
"3 Day Select","3 Day Select"
"Access ID","קוד גישה"
"Access License Number","מספר רישיון גישה"
"Account ID","קוד חשבון"
"Account Number","מספר חשבון"
"Additional Protection Configuration Value","ערך נוסף של הגדרות אבטחה"
"Additional Protection Enabled","הופעלה אבטחה נוספת"
"Additional Protection Min Subtotal","סיכום ביניים מינימלי של אבטחה נוספת"
"Additional Protection Value","ערך אבטחה נוספת"
"Additional Protection Value Rounding Method","שיטת עיגול של ערך אבטחה נוספת"
"All Services","כל השירותים"
"Allowed Methods","פעולות מורשות"
"Bound Printed Matter","נושא מודפס מחויב"
"Business Service Center","מרכז שירות עיסקי"
"Calculate Handling Fee","חשב עלות טיפול"
"Canada Standard","סטנדרטי קנדה"
"Cannot retrieve shipping rates","לא יכול לקבל תעריפי הובלה"
"Commercial","מסחרי"
"Configuration","הגדרות"
"Container","מכולה"
"Customer Packaging","חבילות לקוח"
"DHL","DHL"
"Debug","אתר שגיאות"
"Default Package Height","חבילה - גובה ברירת מחדל"
"Default Package Length","חבילה - אורך ברירת מחדל"
"Default Package Width","חבילה - רוחב ברירת מחדל"
"Delivered","נמסר"
"Destination Type","סוג יעד"
"Development","פיתוח"
"Displayed Error Message","הודעת שגיאה מוצגת"
"Domestic Shipment Days","ימים למשלוח עד הבית"
"Drop Box","תיבת סימון"
"Dropoff","Dropoff"
"Empty response","תגובה ריקה"
"Enable Negotiated Rates","אפשר שערים שנתונים למשא ומתן "
"Enabled","פעיל"
"Enables/Disables SSL verification of Magento server by UPS.","אפשר/ אל תאפשר אימות SSL של שרת מג'נטו באמצעות UPS"
"Error #%s : %s (%s)","שגיאה #%s : %s (%s)"
"Error #%s: %s","שגיאה #%s: %s"
