"(Make sure you keep it in a safe place.)","(הקפד לשמור במקום בטוח.)"
"(Optional. Leave blank for no prefix)","(אופציונלי. ללא תחילית השאר ריק )"
"(ver. %s)","(גירסה. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","כדי להיכנס לממשק הניהול שלך התווסף נתיב נוסף לאחר כתובת URL בסיסית ( לדוגמא admin, backend, control וכו'...)."
"Admin Path","נתיב ממהל"
"After successfull installation please click the button below.","לאחר השלמת ההתקנה לחץ על הכפתור התחתון"
"All packages were installed, click 'OK' to continue with installation.","כל החבילות הותקנו בהצלחה, לחץ על 'OK' כדי להמשיך בתהליך ההתקנה"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","לחלופין אתה יכול לנסות את השיטה 'הידנית להורדות ושידרוגים'"
"Base URL","כתובת בסיס"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","לפני שאתה ממשיך לחנות שלך , שים לב למפתח ההצפנה שלך (Magento משתמשת במפתח זה לפענח ססמאות, כרטיסי אשראי ועוד..)."
"Check out our","בדוק את ה"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","סמן אפשרות זאת רק אם לא ניתן לאשר באופן אוטומטי כתובת URL מאובטחת, למשל אם אימות HTTP נדרש."
"Check this box only if it is not possible to automatically validate the Base URL.","סמן אפשרות זאת רק אם לא ניתן לאשר באופן אוטומטי כתובת URL בסיסית."
"Choose this if you would like to test frontend and backend functionality.","בחר אם ברצונך לבחון את הפוקציונליות של המערכת"
"Configuration","הגדרות"
"Confirm Password","אימות סיסמא"
"Connection","קישור"
"Continue","המשך"
"Continue After Manual Download","המשך לאחר הורדה ידנית"
"Continue Full Download / SVN Installation","המשך התקנה מלאה / SVN"
"Create Admin Account","צור חשבון מנהל"
"Currently this is the most stable state available for Magento packages.","כרגע, זהו המצב הזמין היציב ביותר עבור חבילות Magento"
"Database","בסיס נתונים"
"Database Connection","קישור לבסיס נתונים"
"Database Name","מסד נתונים - שם מסד"
"Database Name cannot be empty.","שם מסד נתונים לא יכול להיות ריק"
"Database connection error.","שגיאה בהתחברות מסד נתונים"
"Database host","מסד נתונים - שרת"
"Database server does not support the InnoDB storage engine.","שרת מסד נתונים לא תומך במנוע האחסון של  InnoDB ."
"Database user name","מסד נתונים - שם משתמש"
"Database user password","מסד נתונים - סיסמא"
"Default Currency","מטבע ברירת מחדל"
"Download","הורד"
"Download Magento Core Modules and Updates","הורד את מודולי הליבה והעידכונים של מג'נטו"
"Downloading and installing Magento, please wait...","מוריד ומתקין את מג'נטו, אנא המתן...."
