"Express Checkout and Order have been canceled.","צ'ק אאוט מהיר והזמנה בוטלו"
"Express Checkout has been canceled.","צ'ק אאוט מהיר לא בוטל"
"Fetch","לכידה"
"PayPal Express Checkout (Payflow Edition) Shortcut Wrapper","PayPal צ'ק אאוט מהיר (Payflow גרסת) קיצור Wrapper"
"PayPal Express Checkout Token does not exist.","סמל של צ'ק אאוט מהיר של PayPal לא קיים."
"PayPal Express Order Review Form","טופס סקירת הזמנה מהירה של PayPal "
"PayPal Settlement Reports"," דוחות הפשרת של PayPal"
"Payment has been declined. Please try again.","התשלום נדחה. אנא, נסה שנית"
"Pending PayPal","Paypal בהמתנה"
"Reports","דו""חות"
"Sales","מכירות"
"Solo","Solo"
"Switch/Maestro","Switch/Maestro"
"Unable to cancel Express Checkout.","לא ניתן לבטל צ'ק אאוט מהיר"
"Unable to initialize Express Checkout review.","לא ניתן להתחיל סקירה של צ'ק אאוט מהיר"
"Unable to place the order.","לא ניתן לבצע את ההזמנה"
"Unable to process Express Checkout approval.","לא ניתן לעבד את אישור הצ'ק אאוט המהיר"
"Unable to start Express Checkout.","לא ניתן להתחיל צ'ק אאוט מהיר"
"Unable to update shipping method.","לא ניתן לעדכן שיטות משלוח"
"View","הצג"
"View Transaction","סקור העברות"
"Wrong PayPal Express Checkout Token specified.","צוין סמל צ'ק אאוט מהיר של Paypal שגוי"
"You will be redirected to the PayPal website in a few seconds.","אתה תועבר לאתר PayPal בעוד מספר שניות"
