"%s Item(s)","%s מוצר(ים)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 כל הזכויות שמורות מג'נטו חנות דוגמא."
"(Shift-)Click or drag to change value","(Shift-)Click או גרירה לשינו ערך"
"(ver. %s)","(גירסה. %s)"
"- Click on any of the time parts to increase it","- לחץ על חלקי הזמן כדי להגדילם"
"- Hold mouse button on any of the above buttons for faster selection.","- השאר את כפתור העכבר לחוץ על אחד הכפתורים העליונים לבחירה מהירה."
"- Use the %s buttons to select month","- השתמש בכפתורי ה- % לבחירת חודש"
"- Use the %s, %s buttons to select year","- השתמש ב-%, כפתורי % לבחירת שנה"
"- or Shift-click to decrease it","- או  Shift-click כדי להקטין את זה"
"- or click and drag for faster selection.","- או לחץ וגרור לבחירה מהירה יותר."
"-- Please Select --","-- בחר מהרשימה --"
"1 column","1 עמודה"
"2 columns with left bar","2 עמודות עם תפריט שמאלי"
"2 columns with right bar","2 עמודות עם תפריט ימני"
"3 columns","3 עמודות"
"About the calendar","אודות לוח השנה"
"All Empty Layout Pages","כל העמודים עם הפריסה הריקה"
"All One-Column Layout Pages","כל העמודים עם פריסה של עמודה אחת"
"All Pages","כל העמודים"
"All Pages (Print Version)","כל העמודים (גרסת הדפסה)"
"All Three-Column Layout Pages","כל העמודים עם פריסה של שלוש עמודות"
"All Two-Column Layout Pages (Left Column)","כל העמודים עם שתי עמודות (עמודה שמאלית)"
"All Two-Column Layout Pages (Right Column)","כל העמודים עם שתי עמודות (עמודה ימנית)"
"Breadcrumbs","פירורי לחם"
"Click <a href=""%s"">here</a> if nothing has happened","לחץ <a href=""%s"">כאן</a>אם כלום לא קרה"
"Close","סגור"
"Close Window","סגור חלון"
"DHTML Date/Time Selector","DHTML תאריך/ זמן Selector"
"Date selection:","תאריך בחירה:"
"Default Description","תיאור ברירת מחדל"
"Default welcome msg!","ברירת מחדל - הודעת ברוכים הבאים!"
"Display %s first","הצג %s ראשון"
"Distributed under GNU LGPL. See %s for details.","מופץ תחת חוקי GNU LGPL. ראה %s לפרטים."
"Drag to move","גרור כדי להזיז"
"Empty","ריק"
"For latest version visit: %s","לגירסה אחרונה בקר ב: %s"
"Free Shipping on orders over 50$","משלוח חינם בסכום הזמנה של יותר מ 50$ "
"Go Today","עבור להיום"
"Help Us to Keep Magento Healthy","עזור לנו לשמור בריאות מג'נטו"
"Interface Language","שפת ממשק"
"Items %s to %s of %s total","פריטים %s עד %s מתוך %s פרטים"
"JavaScript seem to be disabled in your browser.","נראה כי JavaScript לא מופעל בדפדפן שלך."
"Left Column","עמודה שמאלית"
"Main Content Area","אזור תוכן ראשי"
"Navigation Bar","תפריט ניווט"
"Next","הבא"
"Next month (hold for menu)","חודש הבא (החזק לקבלת תפריט)"
"Next year (hold for menu)","שנה הבאה (החזק לקבלת תפריט)"
"Page Bottom","תחתית עמוד"
"Page Footer","כותר תחתון של עמוד"
"Page Header","כותר עליון של עמוד"
"Page Top","ראש עמוד"
"Page:","דף:"
"Prev. month (hold for menu)","חודש קודם (החזק לתפריט)"
"Prev. year (hold for menu)","שנה קודמת (החזק לתפריט)"
"Previous","קודם"
"Redirecting...","מכווין מחדש..."
"Report All Bugs","דווח על כל הבאגים"
"Right Column","עמודה ימנית"
"Select Store","בחר חנות"
"Select Store:","בחר חנות:"
"Select date","בחר תאריך"
"Show","הצג"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","זוהי חנות לדוגמא. הזמנות דרך החנות לא ימומשו בפועל."
"Time selection:","בחירת זמן:"
"Time:","זמן:"
"Welcome, %s!","%s, ברוך הבא!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","חובה לאפשר  JavaScript בדפדפן כדי לאפשר הפעלה תקינה של האתר."
"Your Language","השפה שלך"
"Your Language:","השפה שלך:"
"per page","לעמוד"
