"""%s"" coupon code is not valid.","קוד קופון ""%"" לא תקין."
"%s","%s"
"%s / %s rate:","%s / %s שיעור:"
"%s for %s","%s עבור %s"
"%s order(s) cannot be canceled","לא ניתן לבטל %s הזמנות"
"%s order(s) have been canceled."," %s הזמנות בוטלו"
"%s order(s) have been put on hold.","%s הזמנות הועברו למצב המתנה"
"%s order(s) have been released from holding status."," %s הזמנות שוחררו ממצב המתנה"
"%s order(s) were not put on hold."," %s הזמנות לא הועברו למצב המתנה"
"%s order(s) were not released from holding status.","לא ניתן לבטל %s הזמנות"
"* - Enter custom price excluding tax","* - כנס מחיר לא כולל מס"
"* - Enter custom price including tax","* - הכנס מחיר כולל מס"
"-- Please Select --","-- בחר מהרשימה --"
"-- Please Select Billing Agreement--","-- אנא בחר הסכם חיוב--"
"About This Order:","אודות הזמנה זו:"
"About This Profile:","אודות פרופיל זה:"
"About Your Invoice","אודות החיוב שלך"
"About Your Order","אודות הזמנתך"
"About Your Refund","אודות ההחזר שלך"
"About Your Shipment","אודות המשלוח שלך"
"Accept Payment","קבלת תשלום"
"Accept or Deny Payment","קבל או דחה תשלום"
"Account Information","מידע אודות חשבונך"
"Action","פעולה"
"Actions","פעולות"
"Activate","הפעל"
"Active","פעיל"
"Add","הוסף"
"Add New Address","הוסף כתובת חדשה"
"Add Order Comments","הוסף הערות להזמנה"
"Add Products","הוסף מוצרים"
"Add Selected Product(s) to Option","הוסף מוצר(ים) נבחרים לאופציה"
"Add Selected Product(s) to Order","הוסף מוצר(ים) נבחר(ים) להזמנה"
"Add To Order","הוסף להזמנה"
"Add Tracking Number","הוסף מספר מעקב"
"Add comment to order","הזמנה - הוסף הערה"
"Add new comment to shipment","משלוח - הוסף הערה"
"Add new tracking number","הוסף מספר מעקב"
"Add to Cart","הוסף לסל"
"Additional Product Info","פרטי מוצר נוספים"
"Address","כתובת"
"Address model is not defined.","לא הוגדרה כתובת מודל"
"Adjustment Fee","עמלת התאמה"
"Adjustment Refund","החזר התאמה"
"Agreement Information","פרטי הסכם"
"Allow Reorder","אפשר הזמנה מחדש"
"Amount","כמות"
"Amount: %s.","כמות: %s."
"An error occurred while assigning order status. Status has not been assigned.","ארעה שגיאה במהלך ייחוס סטאטוס הזמנה. סטאטוס לא יוחס."
"An error occurred while saving order status. The status has not been added.","ארעה שגיאה במהלך שמירת סטאטוס ההזמנה. הסטטוס לא התווסף."
"An error occurred while unassigning order status.","ארעה שגיאה במהלך ביטול ייחוס סטאטוס הזמנה"
"An error occurred while updating the order address. The address has not been changed.","ארעה שגיאה במהלך עדכון סטאטוס הזמנה. הכתובת לא שונתה. "
"An item option with code %s already exists.","אפשרות מוצר עם הקוד  %s קיימת כבר."
"Append Comments","הוסף הערות"
"Apply","הפעל/אשר"
"Apply Coupon Code","הפעל קוד קופון"
"Approved the payment online.","אושר התשלום המקוון"
"Are you sure you want to accept this payment?","האם אתה בטוח שאתה רוצה לקבל את התשלום הזה?"
"Are you sure you want to cancel this order?","האם לבטל את ההזמנה?"
"Are you sure you want to deny this payment?","האם אתה בטוח שאתה לדחות את התשלום הזה?"
"Are you sure you want to do this?","האם אתה בטוח שברצונך להמשיך?"
"Are you sure you want to send Creditmemo email to customer?","האם אתה בטוח שאתה רוצה לשלוח דוא""ל  Creditmemo ללקוח?"
"Are you sure you want to send Invoice email to customer?","האם אתה בטוח שאתה רוצה לשלוח דוא""ל חיוב ללקוח?"
"Are you sure you want to send Shipment email to customer?","האם אתה בטוח שאתה רוצה לשלוח דוא""ל משלוח ללקוח?"
"Are you sure you want to send order email to customer?","האם אתה בטוח שאתה רוצה לשלוח דוא""ל הזמנה ללקוח?"
"Are you sure you want to void the payment?","האם אתה בטוח שאתה רוצה לבטל את תוקפו של התשלום?"
"Are you sure?","האם אתה בטוח?"
"Are you sure? This order will be canceled and a new one will be created instead","האם אתה בטוח? ההזמנה הנבחרת תבוטל והזמנה חדשה תיווצר במקומה"
"Assign Order Status to State","ייחס סטאטוס הזמנה למצב"
"Assign Status to State","ייחס סטאטוס למצב"
"Assignment Information","פרטי ייחוס"
"At least a payment ID must be set.","חובה להגדיר לפחות קוד ID תשלום"
"Authorization","אישור"
"Authorized amount of %s.","כמות שאושרה: %s."
"Authorizing amount of %s is pending approval on gateway.","אישור כמות  %s ממתין בשער."
"Back","חזור"
"Back to Billing Agreements","חזור להסכמי חיוב"
"Back to My Orders","חזור להזמנות שלי"
"Back to Recurring Profiles","חזור לפרופילים מחזוריים"
"Backordered","הוזמן כהזמנת חוסר מלאי"
"Bestsellers","רב-מכר"
"Bill to Name","שלח חיוב לשם"
"Billing","חיוב"
"Billing Address","כתובת לחיוב"
"Billing Agreement","הסכמי חיוב"
"Billing Agreement # %s","הסכמי חיוב # %s"
"Billing Agreement #%s","הסכמי חיוב #%s"
"Billing Agreement View"," סקירת הסכמי חיוב"
"Billing Agreements","הסכמי חיוב"
"Buy %s for price %s","קנה %s במחיר %s"
"CSV","CSV"
"Cancel","בטל"
"Cancel invoice","בטל חשבונית"
"Cancel order","בטל הזמנה"
"Canceled","בוטל"
"Canceled order offline.","ביטל המזנה לא מקוונת"
"Canceled order online.","ביטל הזמנה מכוונת"
"Cannot add order history.","לא ניתן להוסיף היסטורית הזמנות"
"Cannot create an empty shipment.","לא יכול ליצור משלוח ריק."
"Cannot determine the field name.","לא ניתן להגדיר שם שדה"
"Cannot do invoice for order.","לא ניתן ליצור חיוב להזמנה"
"Cannot do shipment for order.","לא ניתן ליצור משלוח להזמנה"
"Cannot get order instance","לא ניתן לקבל ערכאת הזמנה"
"Cannot get the order instance.","לא ניתן לקבל ערכאת הזמנה"
"Cannot register an existing credit memo.","לא ניתן לרשום תזכיר אשראי קיים"
"Cannot register existing invoice","לא ניתן לרשום חשבונית קיימת"
"Cannot register existing shipment","לא ניתן לרשום משלוח קיים"
"Capture","לכידה"
"Capture Amount","כמות לכידה"
"Capture Offline","כלכידה לא מכוונת"
"Capture Online","לכידה מקוונת"
"Capture invoice","חשבונית לכידה"
"Captured amount of %s online.","כמות לכידות מקוונות:  %s ."
"Capturing amount of %s is pending approval on gateway.","לוכד כמות של  %s  הממתינים לאישור בשער."
"Carrier","משלח"
"Carrier/Method","משלח/שיטה"
"Change status, add comments","שנה סטטוס, הוסף הערות"
"Changing address information will not recalculate shipping, tax or other order amount.","שינוי כתובת לא יבצע חישוב מחדש של עלויות משלוח, מע""מ או עלויות נוספות."
"Checkout Totals Sort Order","סידור סדר סה""כ צ'ק אאוטים שבוצעו"
"City","עיר"
"Click to change shipping method","לחץ כדי לשנות שיטת שילוח"
"Close","סגור"
"Closed","סגור"
"Comma-separated.","מופרד פסיק"
"Comment","הערה"
"Comment Text","טקסט הערה"
"Comments","הערות"
"Comments History","היסטוריית הערות"
"Company","חברה"
"Complete","הושלם"
"Configure","עצב"
"Configure and Add to Order","עצב והוסף להזמנה"
"Country","ארץ"
"Coupons","קופונים"
"Create","צור"
"Create New Customer","צור לקוח חדש"
"Create New Order","צור הזמנה חדשה"
"Create New Order Status","צור סטאטוס הזמנה חדש"
"Create New Order for %s","צור הזמנה חדשה עבור %s"
"Create New Order for %s in %s","צור הזמנה חדשה עבור %s ב %s"
"Create New Order for New Customer","צור הזמנה חדשה עבור לקוח חדש"
"Create New Order for New Customer in %s","צור הזמנה חדשה ללקוח חדש ב %s"
"Create New Status","צור סטאטוס חדש"
"Create Shipment","צור שילוח"
"Create new invoice for order","צור חשבונית חדשה להזמנה"
"Create new shipment for order","צור שילוח חדש להזמנה"
"Create...","צור..."
"Created At","נוצר ב-"
"Created billing agreement #%s.","הסכמי חיוב שנוצרו #%s."
"Created:","נוצרו:"
"Credit Memo","זכות"
"Credit Memo #","זכות #"
"Credit Memo # ","זכות #"
"Credit Memo #%1$s | %3$s | %2$s (%4$s)","תזכיר אשראי #%1$s | %3$s | %2$s (%4$s)"
"Credit Memo Comment Email Sender","הערה על זכות - אימייל השולח"
"Credit Memo Comment Email Template","הערה על זכות - תבנית אימייל"
"Credit Memo Comment Email Template for Guest","החזרים - תבנית אימייל - הערות לאורחים"
"Credit Memo Comments","הערות על זכות"
"Credit Memo Email Sender","זכות - אימייל השולח"
"Credit Memo Email Template","זכות - תבנית אימייל"
"Credit Memo Email Template for Guest","החזרים - תבנית אימייל לאורחים"
"Credit Memo Update","החזרים - עדכון"
"Credit Memo Update for Guest","החזרים - עדכון לאורחים"
"Credit Memos","החזרים"
"Credit memo has been created automatically","תזכיר אשראי נוצר באופן אוטומטי"
"Creditmemo","החזר"
"Custom Price","מחיר מותאם"
"Custom Value","ערך המכס"
"Customer","לקוח"
"Customer Can Define Start Date","לקוח יכול להגדיר תאריך התחלה"
"Customer Email","דוא""ל לקוח"
"Customer Group","קבוצת לקוח"
"Customer Last Name","שם משפחה של לקוח"
"Customer My Account Order Creditmemo View","סקירה של תזכירי אשראי של הזמנות של לקוח"
"Customer My Account Order History","היסטוריית הזמנות של לקוח"
