"%s %s %s - %s. %s. %s","%s %s %s - %s. %s. %s"
"3D Secure"," אבטחת 3D "
"3D Secure Card Validation"," כרטיס אישור אבטחת 3D "
"API Login ID","קוד התחברות ל- API"
"Accepted Currency","מטבעות מאושרים"
"Allow Partial Authorization","אשר אישור חלקי"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","האם אתה בטוח שאתה רוצה לבטל את התשלום? לחץ OK כדי לבטל את השלום ולשחרר את הכמויות שבהמתנה. לחץ על “בטל” כדי להזין מספר כרטיס אשראי שונה ולהמשיך את התשלום."
"Authorize Only","אשר בלבד"
"Authorize and Capture","אשר והתחל לכידה"
"Authorize.Net Transaction ID %s","Authorize.Net קוד העברה  %s"
"Authorize.net","Authorize.net"
"Cancel","בטל"
"Centinel API URL"," ממש ניהול כתובות URL של Centinel "
"Credit Card Types","סוגי כרטיסי אשראי"
"Credit Card Verification","אישור כרטיס אשראי"
"Credit Card: xxxx-%s","כרטיס אשראי: xxxx-%s"
"Debug","אתר שגיאות"
"Email Customer","שלח דוא""ל ללקוח"
"Enabled","פעיל"
"Error in payment gateway.","שגיאה בשער תשלום"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","פעולות שער חסומות מכיוון שלא ניתן לבצע חלק מההעברות. אנא התחברת לחשבון  Authorize.Net כדי לפתור את הבעיה באופן ידני)."
"Gateway error: %s","שגיאת שער: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","אם ריק, יבוצע שימוש בערך ברירת מחדל. כתובת URL מותאמת יכולה להיות מסופקת על ידי  CardinalCommerce ."
"Invalid amount for authorization.","כמות לא תקנית לאישור."
"Invalid amount for capture.","כמות לכידות לא תקינה"
"Invalid amount for partial authorization.","כמות לא תקינה של אימותים חלקיים"
"Invalid amount for refund.","כמות לא תקינה להחזר"
"Invalid split tenderId ID.","Invalid split tenderId ID."
"Maximum Order Total","סה""כ מקסימלי להזמנה"
"Merchant's Email","כתובת דוא""ל של סוחר"
"Minimum Order Total","סה""כ מינימלי להזמנה"
"New Order Status","סטאטוס הזמנה חדשה"
"Payment Action","פעולת תשלום"
"Payment authorization error.","שגיאה באישור תשלום"
"Payment canceling error.","שגיאה בביטול תשלום"
"Payment capturing error.","שגיאה בלכידת תשלום"
"Payment from Applicable Countries","תשלום ממדינות אפשריות"
"Payment from Specific Countries","תשלום ממדינות מסוימות"
"Payment partial authorization error.","שגיאה באישור חלקי של תשלום"
"Payment refunding error.","שגיאה בהחזר תשלום"
"Payment voiding error.","שגיאה בביטול תוקפו של תשלום"
"Processed Amount","כמות שעובדה"
"Remaining Balance","מאזן שנותר"
"Severe 3D Secure Card Validation","אימות חמור של כרטיס אבטחה  3D "
"Severe Validation Removes Chargeback Liability on Merchant","אימות חמור מסיר אמינות  Chargeback של סוחר"
"Shopping cart contents and/or address has been changed.","תוכן עגלת קניות ו/או כתובת שונו בהצלחה"
"Sort Order","סדר מיון"
"Test Mode","מצב בדיקה"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","היתרה שבכרטיס האשראי שלך לא מאפשרת לך להשלים את הרכישה. הכמות שהזנת הועברה להמתנה. בכדי להשלים את הרכישה לחץ על OK והזן מספר כרטיס אשראי נוסף. בכדי לבטל את ההזמנה לחץ על ""בטל”."
"There was an error canceling transactions. Please contact us or try again later.","ארעה שגיאה במהלך ביטול ההעברה. צור עמנו קשר או נסה שנית מאוחר יותר"
"Title","כותרת"
"Transaction Key","מפתח העברה"
"You have reached the maximum number of credit card allowed to be used for the payment.","הגעת למכסה של כרטיסי אשראי שניתן להשתמש בהם לביצוע התשלום"
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","הגעת למכסה של כרטיסי אשראי שניתן להשתמש בהם לביצוע תשלום אחד. היתרה בכל הכרטיסים שהוזנו לא מספיקים לביצוע התשלום. התשלום בוטל והכמויות שהיו בהמתנה שוחררו."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","כרטיס האשראי שלך נדחה. לחץ על OK כדי לציין מספר כרטיס אשראי שונה ולהשלים את הרכישה. לחץ על ""בטל"" כדי לשחרר את הכמות שבהמתנה ולבחור שיטת תשלום שונה."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","ההזמנה שלך לא בוצעה,מכיוון שתוכן עגלת הקניות שלך ו/או הכתובת שלך שונו. כמויות מהתשלום הקודם שהושארו בהמתנה שוחררו כעת. בצע צ'ק אאוט עבור תוכן העגלה העדכנית שלך."
"Your payment has been cancelled. All authorized amounts have been released.","התשלום שלך בוטל. כל הכמויות שוחררו"
"amount %s","כמות %s"
"authorize","אשר"
"authorize and capture","אשר ולכוד"
"capture","לכוד"
"failed","נכשל"
"refund","החזר"
"successful","מוצלח"
"void","בטל תוקף"
