"%d Review(s)","%d משוב(ים)"
"%s Review(s)","%s משוב(ים)"
"(Posted on %s)","(פורסם ב %s)"
"1 star","כוכב 1"
"2 stars","2 כוכבים"
"3 stars","3 כוכבים"
"4 stars","4 כוכבים"
"5 stars","5 כוכבים"
"Add New Review","הוסף סקירה חדשה"
"Add Your Review","הוסף את הסקירה שלך"
"Administrator","מנהל"
"All Reviews","כל הביקורות"
"All Reviews of Customer '%s'","כל הביקורות של הלקוחות '%s'"
"Allow Guests to Write Reviews","אפשר למבקרים לכתוב ביקורות"
"Are you sure you want to do this?","האם אתה בטוח שברצונך להמשיך?"
"Are you sure?","האם אתה בטוח?"
"Average Customer Rating","ממוצע דירוג  הלקוחות"
"Average Customer Rating:","ממוצע דירוג הלקוחות:"
"Back","חזור"
"Back to Main Product Info","חזור לפירוט מוצר"
"Back to My Reviews","חזרה לסיקורים שלי"
"Back to Product Reviews","חזור אל סקירת מוצר"
"Be the first to review this product","היה ראשון לסקור מוצר זה"
"Catalog Product Review View","סקירת ביקורת על מוצר קטלוג"
"Catalog Product Reviews List","רשימת ביקורות על מוצרי קטלוג"
"Created On","נוצר ב"
"Customer","לקוח"
"Customer My Account Product Reviews","ביקורות מוצרים של החשבון שלי של לקוחות"
"Customer My Account Review Details","פרטי ביקורות של החשבון של של לקוחות"
"Customer Reviews","ביקורות לקוחות"
"Delete","מחק/מחיקה"
"Delete Review","מחק משוב"
"Detailed Rating","פירטי דירוגים"
"Edit Review '%s'","עריכת ביקורת '%s'"
"Guest","אורח"
"How do you rate this product?","איך תדרג מוצר זה?"
"ID","קוד/ת.ז/זיהוי"
"Manage Ratings","ניהול ביקורות"
"My Product Reviews","סיקורי המוצרים שלי"
"My Recent Reviews","סקירות אחרונות שלי"
"Name","שם"
"Name in Store","Name in Store"
"New Review","סיקור חדש"
"Nickname","כינוי"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","רק משתמשים רשומים יכולים לכתוב ביקורת. אנא, <a href=""%s"">התחבר</a> or <a href=""%s"">הרשם</a>"
"Pending Reviews","סיקורים בהמתנה"
"Pending Reviews of Customer '%s'","ממתין לסקירות של לקוחות '%s'"
"Please select a product","בחר מוצר"
"Please select one of each of the ratings above","בחר ערך מכל אחד הדירוגים הנ""ל"
"Posted By","פורסם ע""י"
"Price","מחיר"
"Product","מוצר"
"Product Name","שם המוצר"
"Product Rating","דירוג מוצר"
"Product Rating:","דירוג מוצר:"
"Product Review (submitted on %s):","<strong>סקירת מוצר</strong> (הוגשה בתאריך %s):"
"Product Reviews","סיקורי מוצר"
"Product SKU","קוד/מק""ט מוצר"
"Qty","כמות"
"Rating:","דירוג:"
"Review","סקירת מוצר"
"Review (submitted on %s):","סקירות (הוגשו ב %s):"
"Review Details","פרטי סקירת מוצר"
"Review Form Fields Before","שדות טופס ביקורת לפני"
"Review by <span>%s</span>","ביקורת שכתב <span>%s</span>"
"Reviews and Ratings","סקירות ודירוגים"
"SKU","מק""ט"
"Save Review","שמור משוב"
"Status","מצב"
"Submit Review","שלח סקירת מוצר"
"Summary Rating","סיכום דירוג"
"Summary of Review","תקציר הביקורת"
"Summary of Your Review","סיכום סקירת המוצר"
"Title","כותרת"
"Type","סוג"
"Unable to post the review.","תהליך פרסום ביקורת נכשל"
"Update Status","עדכון סטאטוס"
"View All Reviews","הצג כל הסיקורים"
"View Details","הצג פרטים"
"Visible In","גלוי ב"
"Websites","אתרים"
"Write Your Own Review","רשום סקירה שלך"
"You have submitted no reviews.","לא הגשת אף סקירה."
"You're reviewing:","הביקורות שלך"
"Your Rating:","הדירוג שלך:"
"Your Review (submitted on %s):","<strong>הסיקור שלח</strong> (נשלח ב %s"
"Your review has been accepted for moderation.","הביקורת שלך התקבלה לאישור"
