"%s","%s",
"%s already exist.","%s כבר קיים.",
"%s already exists.","%s כבר קיים.",
"-- Please Select --","-- בחר מהרשימה --",
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">שים לב!</strong>כאשר משתמשים ב CDN, בחלק מהמקרים JavaScript יכול לרוץ בצורה לא תקינה אם CDN לא נמצא בתת דומיין שלך ",
"A category object is required for determining the product request path.","אובייקט קטגוריה נדרש לקביעת את נתיב בקשת המוצר",
"Add Block Names to Hints","הוסף שם בלוק לרמזים",
"Add Secret Key to URLs","הוסף מפתח סודי ל- Urls",
"Add Store Code to Urls","הוסף קוד חנות ל- Urls",
"Admin","ניהול",
"Admin Base URL","URL ניהול בסיסי",
"Admin User Emails","כתובות דוא""ל",
"Advanced","מתקדם",
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","אחרי בחירת מיקום חדש לאחסון המדיה, לחץ על כפתור סנכרון כדי להעביר את כל המדיה למיקום הנבחר. המדיה לא תהיה פעילה במיקום החדש עד לסיום תהליך הסנכרון.",
"Allow Countries","ארצות מאופשרות",
"Allow Symlinks","אפשר קישורים סימבוליים",
"Allowed IPs (comma separated)","כתובות IP מורשות (מופרדות בפסיק)",
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","סוגי קבצים מורשים: ICO, PNG, GIF, JPEG, APNG, SVG. לא כל הדפדנים תומכים בכל הפורמטים הללו!",
"Allows customers to stay logged in when switching between different stores.","אפשר ללקוחות להישאר מחוברים כאשר הם עוברים בין חנויות שונות",
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","טקסט חלופי עבור קישור הבא בתפריט מספור. אם ריק, יבוצע שימוש בחיצי ברירת מחדל.",
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","טקסט חלופי עבור קישור קודם בתפריט מספור. אם ריק, יבוצע שימוש בחיצי ברירת מחדל.",
"An error occurred while saving. Please review the error log.","ארעה שגיאה במהלך תהליך השמירה. אנא סקור את דוח השגיאה.",
"Anchor Text for Next","עגן את הטקסט להבא",
"Anchor Text for Previous","עגן את הטקסט לקודם",
"Anchor symbol (#) is not supported in request path","סמל עוגן (#) לא נתמך בנתיב הנבחר",
"Anchor symbol (#) is not supported in url rewrite suffix","סמל עוגן (#) לא נתמך בשכתוב סיומת URL",
"Are you sure?","האם אתה בטוח?",
"Auto-redirect to Base URL","הכוונה אוטומטית ל URL בסיסי",
"Back","חזור",
"Backup Options","הגדרות גיבוי",
"Base JavaScript URL","כתובת בסיס ל- JavaScript",
"Base Link URL","כתובת בסיס לקישורים",
"Base Media URL","כתובת בסיס למדיה",
"Base Skin URL","כתובת בסיס לסקינים",
"Base URL","כתובת בסיס",
"Before modifying the store view code please make sure that it is not used in index.php.","לפני ביצוע שינויים בקוד אתר, ודא כי אין שימוש בקובץ index,php",
