"%s codes deleted","% קודים נמחקו"
"%s codes imported","%קודים שיובאו"
"%s codes not imported","%קודים לא יובאו בהצלחה "
"%s product in feed.","%מוצרים בהזנה "
"%s product not in feed.","%מוצרים לא בהזנה"
"Add new","הוסף חדש"
"Attrib. Set Name","מאפיין - קבע שם"
"Attributes map","מפת תכונות"
"Cron Frequency","תדירות Cron"
"Cron Hour","Cron שעת"
"Delete","מחק/מחיקה"
"Eav code","Eav קוד "
"FTP Password","FTP סיסמת"
"FTP Path","FTP נתיב"
"FTP Server","FTP שרת"
"FTP Settings","FTP הגדרות"
"FTP User","FTP משתמש"
"FTP: Can't delete files","FTP: לא ניתן למחוק קבצים"
"Feed","הזן"
"Feed code","הזן קוד"
"ID","קוד/ת.ז/זיהוי"
"Import","ייבוא/ייבא"
"Import attribute map","יבא מפת תכונות"
"Import code","יבא קוד"
"In feed","בהזנה"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","בכדי לגשת לפרטי חשבון FTP, עליך לבצע רישום ולבצע אישור חנות ב TheFind Merchant Center. לחץ <a href=""https://merchant.thefind.com/mc/claim.fhtml"">כאן</a>כדי להתחיל. "
"Is imported","מיובא"
"Item params","נתוני אובייקט"
"Manage attributes","ניהול תכונות"
"Manage items","נהל פריטים"
"Not import","לא מיובא"
"Not publish","לא מפורסם"
"Price","מחיר"
"Product Name","שם המוצר"
"Product import","יבוא מוצר"
"Publish","פרסם"
"SKU","מק""ט"
"Settings","הגדרות"
"The Find","The Find"
"TheFind Feed Filename","TheFind הזנת שם"
"TheFind feed","TheFind הזנת"
"Type","סוג"
"Unable to process an import. ","לא ניתן לבצע ייבוא"
"Update TheFind Item when Product is Updated","שדרג פריט TheFind  כאשר המוצר משודרג "
