"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d חוקי מחירים של עגלת קניות מבוססים על תכונת  ""%s"" בוטלו."
"Actions","פעולות"
"Active","פעיל"
"Add New Rule","הוסף חק"
"Apply","הפעל/אשר"
"Apply To","הפעל/אשר על"
"Apply the rule only if the following conditions are met (leave blank for all products)","הפעל חוק בתנאים הבאים (השאר ריק להפעלה על כל המוצרים)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","הפעל חוק על פריטי העגלה שתואמים את התנאים הבאים (השאר ריק להפעלה על כל הפריטים)"
"Apply the rule to cart items matching the following conditions","הפעל חוק על פריטי העגלה שתואמים את התנאים הבאים"
"Apply to Shipping Amount","הפעל על כמות משלוחים"
"Auto","אוטומטי"
"Buy X get Y free (discount amount is Y)","קנה X קבל Y בחינם (ההנחה היא Y)"
"By Fixed Amount","לפי כמות קבועה"
"By Fixed value","לפי ערך קבוע"
"By Percentage","לפי אחוזים"
"By Percentage of the Original Price","באחוזים מהמחיר המקורי"
"Can\'t acquire coupon.","לא ניתן להשיג קופון"
"Cart Attribute","תכונות עגלת קניות"
"Catalog","קטלוג"
"Conditions","תנאים"
"Conditions combination","שילוב תנאים"
"Coupon","קופון"
"Coupon Code","קוד קופון"
"Customer Groups","קבוצות לקוחות"
"Customer is new buyer: %s","הלקוח הוא קונה חדש: %s"
"Customer registered: %s","לקוח נרשם: %s"
"Date Expire","תאריך פג תוקף"
"Date Start","תאריך התחלה"
"Default Label","תווית ברירת מחדל"
"Default Rule Label for All Store Views","תווית חוק ברירת מחדל עבור תצוגה של כל החנות"
"Delete Rule","מחק חוק"
"Description","תיאור"
"Description: %s","תיאור: %s"
"Discount Amount","גובה/כמות הנחה"
"Discount Qty Step (Buy X)","מדרגת הנחה לכמות (קנה X)"
"Edit Rule","ערוך חוק"
"Edit Rule '%s'","ערוך חוק '%s'"
"Expire at: %s","פג תוקף ב: %s"
"FOUND","FOUND"
"Fixed amount discount","הנחה לכמות קבועה"
"Fixed amount discount for whole cart","הנחה לכמות קבועה - לכל העגלה"
"For matching items only","לפריטים תואמים בלבד"
"For shipment with matching items","עבור משלוח עם כתובות תואמות"
"Free Shipping","שילוח חינם"
"From Date","מתאריך"
"General Information","מידע כללי"
"ID","קוד/ת.ז/זיהוי"
"Inactive","לא פעיל"
"Item totals are not set for rule.","סה""כ פריטים לא הוגדרו עבור החוק"
"Labels","תוויות"
"Maximum Qty Discount is Applied To","כמות הנחה מקסימלית מופעלת עבור"
"NOT FOUND","לא נמצא"
"NOT LOGGED IN","לא מחובר"
"Name: %s","שם: %s"
"New Rule","חוק חדש"
"No","לא"
"No Coupon","אין קופון"
"Number of Uses","כמות שימושים"
"Payment Method","שיטת התשלום"
"Percent of product price discount","אחוז הנחה ממחיר המוצר"
"Period","תקופה"
"Price in cart","מחיר לסל"
"Priority","עדיפות/מועדף"
"Product attribute combination","קומבינציה של תכונות מוצר"
"Products subselection","תתי בחירות של מוצרים"
"Promotions","מבצעים"
"Public In RSS Feed","פומבי בהזנת RSS"
"Quantity in cart","כמות בעגלת הקניות"
"Row total in cart","סה""כ פריטים לסל"
"Rule Information","מידע על חוק"
"Rule Name","שם חוק"
"Sales Discount Amount","כמות הנחה במכירות"
"Sales Subtotal Amount","סיכום ביניים של כמות מכירות"
"Sales Total Amount","סה""כ כמות מכירות"
"Save Rule","שמור חוק"
"Save and Continue Edit","שמור והמשך לערוך"
"Shipping Country","ארץ המשלוח"
"Shipping Method","שיטת משלוח"
"Shipping Postcode","שילוח - מיקוד"
"Shipping Region","שילוח - איזור"
"Shipping State/Province","שילוח - מדינה/מחוז"
"Shopping Cart Price Rule","עגלת קניות - חוקי מחיר"
"Shopping Cart Price Rules","עגלת קניות - חוקי מחיר"
"Special Price","מחיר מיוחד"
"Specific Coupon","קופון מסויים"
"Start at: %s","מתחיל ב: %s"
"Status","מצב"
"Stop Further Rules Processing","עצור עיבוד עתידי של חוקים"
"Store View Specific Labels","תווית מסוימת של תצוגת חנות"
"Subtotal","סך ביניים"
"Subtotal Amount","סיכום ביניים של כמות"
"The rule has been deleted.","החוק נמחק בהצלחה"
"The rule has been saved.","החוק נשמר בהצלחה"
"This rule no longer exists.","החוק לא קיים כבר"
"To Date","עד לתאריך"
"To Fixed Amount","עד כמות"
"To Fixed Value","עד ערך"
"To Percentage","עד אחוז"
"To Percentage of the Original Price","האחוז מהמחיר המקורי"
"Total","סה""כ"
"Total Amount","סה""כ כמות"
"Total Items Quantity","סה""כ כמות פריטים"
"Total Weight","סה""כ משקל"
"Unable to find a rule to delete.","לא ניתן למצוא חוק כדי למחוק"
"Update Prices Using the Following Information","עדכן מחירים באמצעות שימוש במידע הבא"
"Update prices using the following information","עדכן מחירים באמצעות שימוש במידע הבא"
"Update product's %s %s: %s","עדכן מוצר %s %s: %s"
"Update the Product","עדכן מוצר"
"Uses per Coupon","שימושים ביחס לקופון"
"Uses per Customer","שימושים ביחס ללקוח"
"Wrong rule specified.","צוין חוק שגוי"
"Yes","כן"
