"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">קישור</a>"
"An error occurred while opening file: ""%s"".","ארעה שגיאה במהלך פתיחת הקובץ: ""%s""."
"Could not load file: ""%s"".","תקלה בהעלאת קובץ: ""%s""."
"Could not save file: %s.","תקלה בשמירת הקובץ: %s."
"Declared adapter %s was not found.","מתאם נבחר %s לא נמצא."
"Destination folder ""%s"" is not a directory.","תיקיית יעד ""%s"" אינה ספרייה."
"Destination folder ""%s"" is not writable.","תיקיית יעד ""%s"" לא ניתנת לשכתוב."
"Done","בוצע"
"Dry run set, stopping execution.","הרצה על יבש, עוצר ביצוע."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","שגיאה במיפוי שדות: רשימת שדות למיפוי לא הוגדרה."
"File ""%s"" does not exist.","קובץ ""%s"" לא קיים."
"Found %d rows.","נמצאו %d שורות."
"Less than a minute","פחות מדקה"
"Loaded successfully: ""%s"".","נטען בהצלחה: ""%s""."
"Memory Used: %s","זכרון מנוצל: %s"
"Method ""%s"" not defined in adapter %s.","שיטה ""%s"" לא הוגדרה במתאם %s."
"Method ""%s"" was not defined in adapter %s.","שיטה ""%s""  %לא הוגדרה במתאם s."
"Please declare ""adapter"" and ""method"" nodes first.","אנא הכרז  ""מתאם"" ו  ""שיטה"" קודם nodes."
"Processed records: %s","רשומות מעובדות: %s"
"Saved successfully: ""%s"" [%d byte(s)].","נשמרו בהצלחה: ""%s"" [%d byte(s)]."
"Sheet 1","גליון 1"
"Skip undefined row.","דלג על שורות לא מוגדרות"
"Starting %s :: %s","מתחיל %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","ציקיית יעד  ""%s"" לא קיימת או שלא קיימת גישה ליצור אותה."
"Total records: %s","סה""כ רשומות: %s"
"hour","שעה"
"hours","שעות"
"minute","דקה"
"minutes","דקות"
