"# of Use","# שימוש"
"%1$s incl tax.","%1$s כולל מס."
"%s - %s","%s - %s"
"%s Item(s)","%s מוצר(ים)"
"(%d)","(%d)"
"(Copy data from: %s)","(העתק נתונים מ: %s)"
"(Will make search for the query above return results for this search.)","(חיפוש עבור השאילתה מעל לתוצאות החיפוש הקיים.)"
"* Required Fields","* שדות חובה"
"-- Please Select --","-- בחר מהרשימה --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 כברירת מחדל:,אם לא הוגדר אחרת. לרענון מיידי, נקה בלוק פלט HTML  Cache."
"A group with the same name already exists.","קבוצה עם השם הנבחר קיימת"
"A name is required","נדרש שם"
"A product type is not defined for the indexer.","לא הוגדר סוג מוצר עבור האינדקסר"
"ALL GROUPS","כל הקבוצות"
"AM","AM"
"Action","פעולה"
"Add Attribute","הוסף מאפיין"
"Add Design Change","הוסף שינוי עיצוב"
"Add Group","הוסף קבוצה"
"Add New","הוסף חדש"
"Add New Attribute","הוספת תיאור חדש"
"Add New Attribute Set","סט תכונות נוסף"
"Add New Group","קבוצה חדשה"
"Add New Images","הוסף תמונות חדשות"
"Add New Option","הוסף אופציה"
"Add New Row","הוסף שורה"
"Add New Search Term","מונח חיפוש חדש"
"Add New Set","סט חדש"
"Add Product","הוסף מוצר"
"Add Product To Websites","הוסף מוצר לאתרים"
"Add Root Category","הוסף קטגוריית בסיס"
"Add Subcategory","הוסף קטגוריית משנה"
"Add Tax","הוסף מס"
"Add Tier","הוסף שכבה"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוסף ל wishlist"
"Additional Information","מידע נוסף"
"Alert Urls","כתובת URL מסוכנות"
"All","הכל"
"All Product Types","כל סוגי המוצרים"
"All Websites","כל האתרים"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","כל המוצרים של סט זה ימחקו! האם למחוק את סט התכונות?"
"Allow All Products per Page","אפשר תצוגה של כל המוצרים בדף "
"Allow Dynamic Media URLs in Products and Categories","אפשר כתובת URL דינמיות עבור מדיה של מוצרים וקטגוריות."
"Allow HTML Tags on Frontend","אפשר תגי  HTML בתצוגת חנות"
"Allowed File Extensions","סיומות קבצים מורשות"
"Allowed file extensions to upload","סיומות קבצים מורשות להעלאה לשרת"
"An error occurred while adding customers for the %s alert. Message: %s","ארעה שגיאה במהלך הוספת לקוחות ל %s אזהרה.הודעה: %s"
"An error occurred while adding products to websites.","ארעה שגיאה במהלך הוספת מוצרים לאתר"
"An error occurred while clearing comparison list.","ארעה שגיאה במהלך ניקוי רשימת השוואה"
"An error occurred while removing products from websites.","ארעה שגיאה במהלך הסרת מוצרים מהאתר"
"An error occurred while saving the URL rewrite.","ארעה שגיאה במהלך שמירת שכתוב כתובת URL"
"An error occurred while saving the attribute set.","ארעה שגיאה במהלך שמירת מקבץ אפשרויות"
"An error occurred while saving the product. ","ארעה שגיאה במהלך שמירת המוצר"
"An error occurred while saving the search query.","ארעה שגיאה במהלך שמירת שאילתת החיפוש"
"An error occurred while saving this group.","ארעה שגיאה במהלך שמירת הקבוצה הזאת."
"An error occurred while trying to delete the category.","ארעה שגיאה במהלך תהליך מחיקת הקטגוריה"
"An error occurred while updating the product(s) attributes.","ארעה שגיאה במהלך עדכון אפשרויות המוצר/ים"
"An error occurred while updating the product(s) status.","ארעה שגיאה במהלך עדכון סטאטוס המוצר/ים"
"An invalid group ID is specified, skipping the record.","צוין ID קבוצה לא תקין, מדלג על הרשומה"
"An invalid option ID is specified for %s (%s), skipping the record.","צוין Id לא תקין של אפשרות %s (%s), מדלג על הרשומה."
"An invalid store was specified.","חנות לא תקינה צוינה"
"Anchor Custom Text","טקסט Anchor מותאם"
"Anchor Custom Title","כותרת Anchor מותאמת"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","חל על מוצרי קטלוג וקטגוריות בלבד. כל תוכן מדיה יוכנס כ URL סטאטי. לא יבוצע עדכון אם הגדרות מערכת בסיסיות של URL יבוצעו. "
"Apply To","הפעל/אשר על"
"Approved","מאושר"
"Are you sure you want to delete this category?","האם למחוק את הקטגוריה?"
"Are you sure you would like to remove all products from your comparison?","האם להסיר את כל המוצרים ממנגנון השוואת המוצרים?"
"Are you sure you would like to remove this item from the compare products?","האם להסיר פריט זה ממנגנון השוואת המוצרים?"
"Are you sure?","האם אתה בטוח?"
"As low as:","נמוך עד לרמה של:"
"Assign","הפעל שיוך"
"Assign product link","שייך קישור למוצר"
"Assign product to category","שייך מוצר לקטגוריה"
"Assigned Products","מוצרים משוייכים"
"Associated Products","מוצרים משויכים"
"Attrib. Set Name","מאפיין - קבע שם"
"Attribute ""%s"" is invalid.","התכונה ""%s"" לא פעילה."
"Attribute ""%s"" is required.","התכונה ""%s"" נדרשת."
"Attribute Information","תכונה - מידע"
"Attribute Model","תכונה - מודל"
"Attribute Name:","שם תכונה:"
"Attribute Set","סט תכונות"
"Attribute group with the /name/"" name already exists""","קבוצת תכונות בשם /name/"" כבר קיימת"""
"Attribute with the same code already exists","מאפיין עם קוד זהה כבר קיים"
"Attributes","תכונות"
"Attrribute names can be specified per store.","שמות תכונה יכולים להקבע פר חנות"
"Autogenerate","צור אוטומטית"
"Availability:","זמינות:"
"Back","חזור"
"Backend Model","מודל צד אחורי"
"Backend Table","טבלת צד אחורי"
"Backend Table Title","כותרת טבלת צד אחורי"
"Backorders","הזמנות בחוסר מלאי"
"Based On","מבוסס על"
"Best Value","הערך הגבוה ביותר"
"Block after Info Column","בלוק לאחר עמודת מידע"
"Bottom Block Options Wrapper","  אפשרויות Wrapper בלוק תחתון"
"Bottom/Left","למטה/משמאל"
"Bottom/Right","למטה/מימין"
"Browse By","דפדף לפי"
"Bundle Items","פריטים מקובצים"
"Buy %1$s for %2$s","קנה %1$s עבור %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","קנה %1$s עבור %2$s (כולל מס %3$s) ליחידה"
"Buy %1$s for %2$s each","קנה %1$s עבור %2$s ליחידה"
"Buy %1$s with %2$s discount each","קנה %1$s עם %2$s הנחה ליחידה"
"Cache Lifetime (Seconds)","אורך חיים של Cache  (שניות)"
"Cache refresh needed.","רענון Cache נדרש"
"Can be used only with catalog input type Dropdown","ניתן להשתמש רק עם קלט קטלוג מסוג Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","ניתן להשתמש רק עם קלט קטלוג מסוג Dropdown, בחירה מרובה ומחיר"
"Can\'t create image.","לא יכול ליצור תמונה."
"Cancel","בטל"
"Cannot create image.","לא ניתן ליצור תמונה"
