"-OR-","-או-"
"2-pixel perimeter around the header space.","היקף של 2 פיקסלים סביב הכותר העליון."
"3D Secure","אבטחת 3D "
"3D Secure Card Validation","אימות כרטיס אבטחת 3D "
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."," אימות אבטחת 3D  נדרש עבור כרטיסי Maestro . משתמשים של כרטיס American Express צורכים הסכם חיוב נוסף . פרטים נוספים <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">קבלת תשלומים דרך PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","עדרך נדרש להפעלה במצב לייב. פנה להסכם CardinalCommerce."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH הפקדת (בחר לקבלת מידע נוסף)"
"ACH Deposit (Reversal)","ACH הפקדת (הפיך)"
"ACH Funding for Funds Recovery from Account Balance","  ACH מימון עבור קרנות שחזור  של יתרה בחשבון"
"ACH Withdrawal","ACH משיכת"
"API Authentication Methods","שיטות אימות API"
"API Certificate","API אישור"
"API Password","סיסמת API"
"API Signature","חתימת API"
"API Username","שם משתמש API"
"API Uses Proxy","שימוש API ב Proxy"
"API/Integration","API/אינטגרציה"
"API/Integration Settings","API/הגדרות אינטגרציה"
"Ability for buyer to purchase without PayPal account.","אפשרות לקונה לבצע רכישה ללא חשבון PayPal"
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","קבלת תשלומי PayPal בעגלת הקניות . PayPal יעבד את  תשלומי כרטיס האשראי שלך באמצעות Payflow Pro Gateway."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","קבלת תשלומים מבלי שהלקוח יעזוב את החנות שלך. שירותי אחסון רבים ועגלות קנייה רבות מגיעות עם תשלומים מובנים של Payflow.  לכן פשוט לבצע את התאמות הנדרשות  "
"Acceptance Mark","חותם קבלה"
"Acceptance Mark Image","תמונת חותם קבלה"
"Account-to-Account Payment, initiated by PayPal","תשלום מחשבון לחשבון,  התהליך נזם על ידי PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","הוסף כפתור צ'ק אאוט מהיר לעגלת הקניות הקיימת שלך לתשלום מהיר ופשוט באמצעות כרטיס אשראי. PayPal  מבצע את כל ההעברות הכספיות ."
"Additional Options","אפשרויות נוספות"
"Address Verification System Response","תשובת מערכת אימות כתובת"
"All the address information matched","כל פרטי הכתובת תואמות"
"Allow in Billing Agreement Wizard","אפשר באשף הסכם החיוב "
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","ערכים נתמכים: ""paypal"", ""primary"" (ברירת מחדל), your_custom_value (סגנון דף תשלום מותאם אישית מחשבון הסוחר שלך)."
"Allowed Credit Card Types","סוגי כרטיס אשראי נתמכים"
"Also affects mini-shopping cart.","משפיע גם על עגלת קניות קטנה"
"Ask Customer","שאל לקוח"
"Attempted Authentication, Bad Result","ניסיון אימות, תוצאות לא טובות"
"Attempted Authentication, Good Result","ניסיון אימות, תוצאות טובות"
"Auction Payment other than through eBay","תשלום במכרז במערכת שונה מ  eBay"
"Authenticated, Bad Result","מאומת, תוצאות לא טובות"
"Authenticated, Good Result","מאומת , תוצאות טובות"
"Authorization","אישור"
"Authorization transaction is required to void.","צריך לבטל אימות עסקה"
"Auto","אוטומטי"
"AutoSweep","טאטוא אוטומטי"
"Available Balance","מאזן אפשרי"
"Balance Manager Account Bonus","בונוס חשבון של מנהל מאזן"
"Billing Address","כתובת לחיוב"
"Billing Agreement Signup ","חתימה על הסכם חיוב"
"Billing Information","פרטי החיוב"
"Bonus for first ACH Use","בונוס עבור שימוש ראשון ב ACH "
"Buyer Credit Payment","תשלום אשראי של קונה"
"By default it is ""reports.paypal.com"".","ברירת מחדל היא ""reports.paypal.com""."
"CVV2 Check Result by PayPal","CVV2 בדיקת תוצאות על ידי PayPal"
"Can not send new order email.","לא ניתן לשלוח דוא""ל הזמנה חדשה"
"Cannot create target file for reading reports.","לא ניתן ליצור קובץ יעד לדוחות."
"Centinel API URL","Centinel API URL"
"Centinel Custom API URL","Centinel מותאם  API URL"
"Change Payment Method","שנה שיטת התשלום"
"Change Shipping Address","שנה כתובת למשלוח"
"Charge-off","Charge-off"
"Chargeback","Chargeback"
"Chargeback by customer.","Chargeback by customer."
"Checkout with PayPal","צ'ק אאוט באמצעות  PayPal"
"Completion Date","תאריך השלמה"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","מתחבר לשרת   SFTP  PayPal כדי למשוך דוחות עדכניים. האם אתה בטוח שאתה רוצה להמשיך?"
"Countries Payment Applicable From","תשלום יכול להתקבל מהמדינות הבאות"
"Coupon Redemption","פדיון קופון"
"Credit","אשראי"
"Credit Card Settings","הגדרות כרטיס אשראי"
"Currency Conversion required to cover negative balance","העברת מטבע נדרשת כדי לכסות מאזן שלילי"
"Custom","מותאם אישית"
"Custom Endpoint Hostname or IP-Address","שם שרת קצה או כתובת IP מותאמים אישית"
"Custom Path","נתיב מותאם אישית"
"Customer complaint.","תלונות לקוח"
"Customer did not include a confirmed address.","הלקוח לא כלל כתובת מאומתת"
"Customer triggered a money-back guarantee.","לקוח הפעיל ערבות לקבלת החזר כספי"
"Daily","יומי"
"Debit","חיוב"
"Debit Card Cash Back","כרטיס חזרה של חיוב במזומן"
"Debit Card Transaction","העברה בכרטיס חיוב"
"Debit or Credit","חיוב או אשראי"
"Debug Mode","מצב איתור באגים"
"Direct Payment API","ממשק ניהול תשלום ישיר"
"Discount","הנחה"
"Displays on catalog pages and homepage.","הצג בדפי קטלוג ודף הבית"
"Don't have a PayPal account? Simply enter your email address.","אין לך חשבון PayPal ? פשוט הכנס את כתובת הדוא""ל שלך כאן."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","אין לך חשבון סוחר של  PayPal ? אתה יכול לקבל תשלומים של כרטיס אשראי מאמצעות   Payflow Pro Gateway."
"Dynamic","דינמי"
"EFT Funding (German banking)"," מימון EFT  (בנקים גרמניים)"
"Edit Shopping Cart","ערוך עגלת קניות"
"Email Associated with PayPal Merchant Account","דוא""ל חשבונות סוחרים מקושרים עם PayPal"
"Enable Automatic Fetching","אפשר שליפה אוטומטית"
"Enable PayPal Guest Checkout","אפשר צ'ק אאוט למבקרים באמצעות Paypal"
"Enabled","פעיל"
"Event","אירוע"
"Event Code","קוד אירוע"
"Every 10 days","כל 10 ימים"
"Every 14 days","כל 14 יום"
"Every 3 days","כל 3 ימים"
"Every 30 days","כל 30 יום"
"Every 40 days","כל 40 יום"
"Every 7 days","כל 7 ימים"
"Exact Match. Address and Postal Code. International","התאמה מדויקת. כתובת ומיקוד. בין לאומי"
"Exact Match. Address and Postal Code. UK-specific","התאמה מדויקת. כתובת ומיקוד. ייחודי לבריטניה"
"Exact Match. Address and nine-digit ZIP code","התאמה מדויקת. כתובת ומיקוד ארבע ספרתי"
"Express Checkout","צ'ק אאוט מהיר"
"Express Checkout (Payflow Edition) Settings","הגדרות צ'ק אאוט מהיר (Payflow גרסת ) "
"Express Checkout APIs","ניהול צ'ק אאוט מהיר"
"Express Checkout Settings"," הגדרות צ'ק אאוט מהיר"
"Express Checkout and Order have been canceled.","צ'ק אאוט מהיר וההזמנה בוטלו."
"Express Checkout has been canceled.","צ'ק אאוט מהיר בוטל."
"Failed to fetch reports from '%s@%s'.","נכשל בשליפת דוחות מ '%s@%s'."
"Fee Amount","סכום עמלה"
"Fee Debit or Credit","עמלת תשלום או אשראי"
"Fee Reversal","הפיכת עמלה"
"Fee: Foreign ACH Withdrawal","עמלה: משיכת  ACH זר"
"Fee: Mass Pay Request","עמלה: בקשת תשלום מרובה"
"Fee: Web Site Payments Pro Account Monthly","עמלה: חשבון חודשי מתקדם של תשלומי אתר"
"Fee: WorldLink Check Withdrawal","עמלה: משיכת צ'ק WorldLink "
"Fetch","שלוף"
"Fetch Updates","שלוף עדכונים"
"Fetched %s report rows from '%s@%s'.","שלף %s שורות דוח מ '%s@%s'."
"Frontend Experience Settings","הגדרות חווית חזית החנות"
"Funding","מימון"
"General (Authorization)","כללי  (אישור)"
"General (Dividend)","כללי (דיבידנד)"
"General (Funds Transfer from PayPal Account to Another)","כללי  (העברת כספים מחשבון  PayPal לחשבון אחר)"
"General (Purchase with a credit card)","כללי  (רכישה באמצעות כרטיס אשראי)"
"General Adjustment without businessrelated event","התאמות כלליות ללא אירועים עסקיים קשורים"
"General Currency Conversion","העברות מטבע כלליות"
"General Funding of PayPal Account ","מימון כללי של חשבון PayPal"
"General Redemption","פדיון כללי"
"General Withdrawal from PayPal Account","משיכה כללית מחשבון PayPal"
"General. Product no longer supported","כללי . מוצר שאינו נתמך כבר"
"General: Use of PayPal account for purchasing as well as receiving payments","כללי : השתמש בחשבון PayPal כדי לבצע רכישות ולקבלת תשלומים"
"General: Withdrawal from PayPal Account","כללי : משיכה מחשבון PayPal"
"General: Withdrawal to Non-Bank Entity","כללי : משיכה ליישות לא בנקאית"
"General: adjustment of a type not belonging to the other T12xx categories","כללי : התאמה מסוג שאינו שייך לקטגוריות T12xx"
"General: bonus of a type not belonging to the other T08xx categories","כללי : בונוס מסוג שאינו שייך לקטגוריה T08xx "
"General: event not yet categorized","כללי : אירוע עדיין לא סיווג "
