"Alert Email Sender","התרע אימייל השולח"
"Alert subscription has been saved.","התרעת רישום נשמרה בהצלחה"
"Allow Alert When Product Comes Back in Stock","אפשר התרעות כאשר מוצר חוזר למלאי"
"Allow Alert When Product Price Changes","אפשר התרעות כאשר מחירי מוצרים משתנים"
"Click here not to receive alerts for this product","לחץ כאן כדי להפסיק לקבל התרעות לגבי מוצר זה"
"Error Email Recipient","שגיאה באימייל הנמען"
"Error Email Sender","שגיאה באימייל השולח"
"Error Email Template","שגיאה בתבנית האימייל"
"Frequency","תדירות"
"Not enough parameters.","אין מספיק פרמטרים"
"Price Alert Email Template","תבנית דוא""ל התרעת מחיר"
"Price:","מחיר:"
"Product Alerts","תזכורות מוצר"
"Product Alerts Run Settings","הגדרות הרצת התרעות מוצרים"
"Product alerts Cron error","שגיאת cron של התרעות מוצר"
"Product price alert","תזכורת מחיר מוצר"
"Product stock alert","תזכורת מלאי למוצר"
"Regular Price:","מחיר רגיל:"
"Sign up for price alert","הרשם לתזכורת מחיר"
"Sign up to get notified when this product is back in stock","הרשם כדי לקבל תזכורת כאשר מוצר זה יהיה במלאי"
"Special price:","מחיר מבצע:"
"Start Time","שעת התחלה"
"Stock Alert Email Template","תבנית דוא""ל התרעת מלאי"
"The alert subscription has been deleted.","התרעת רישום נמחקה בהצלחה"
"The alert subscription has been saved.","התרעת רישום נשמרה בהצלחה"
"The product is not found.","המוצר לא נמצא"
"The product was not found.","המוצר לא נמצא"
"Unable to update the alert subscription.","לא ניתן לעדכן התרעת רישום"
"Unsubscribe from all price alerts","הסר רישום מכל תזכורות מחיר"
"Unsubscribe from all stock alerts","הסר רישום מכל תזכורות מלאי"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","ביקשת לקבל תזכורת כאשר המוצרים הבאים חוזרים למלאי:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","ביקשת לקבל תזכורות כאשר מחירי המוצרים הבאים משתנים:"
"You will no longer receive price alerts for this product.","אתה לא תקבל התרעות מחיר עבור מוצר זה"
"You will no longer receive stock alerts for this product.","אתה לא תקבל התרעות מלאי עבור מוצר זה"
"You will no longer receive stock alerts.","אתה לא תקבל התרעות מלאי"
