"Actions","פעולות"
"An error occurred while marking notification as read.","שגיאה התרחשה במהלך סימון ההודעה כנקראה."
"An error occurred while marking the messages as read.","שגיאה התרחשה במהלך סימון ההודעות כנקראו."
"An error occurred while removing messages.","שגיאה התרחשה במהלך הסרת ההודעות."
"An error occurred while removing the message.","שגיאה התרחשה במהלך הסרת ההודעה."
"Are you sure?","האם אתה בטוח?"
"Date Added","תאריך התווספות"
"Last Update","עדכון אחרון"
"Mark as Read","סמן כנקרא"
"Mark as read","סמן כנקרא"
"Message","הודעה"
"Messages Inbox","דואר נכנס"
"Notifications","הערות"
"Please select messages.","אנא , בחר הודעות."
"Read Details","קרא פרטים"
"Remove","הסר"
"Severity","חומרה"
"Show List","הראה רשימה"
"Show Toolbar","הראה תפריט כלים"
"The message has been marked as read.","הודעה זאת סומנה כנקראה."
"The message has been removed.","ההודעה הוסרה."
"Total of %d record(s) have been marked as read.","סה""כ  %d רשומות סומנו כנקראו."
"Total of %d record(s) have been removed.","סה""כ %d רשומות הוסרו."
"Unable to proceed. Please, try again.","לא ניתן להמשיך. אנא, נסה שנית."
"Update Frequency","תדירות עדכון"
"Use HTTPS to Get Feed","שימוש ב HTTPS כדי לקבל הזנה"
"critical","קריטי"
"major","גדול"
"minor","קטן"
"notice","הודעה"

